index,code,name,market,count
JPX-Nikkei 400,4202,ダイセル,プライム,13
JPX-Nikkei 400,4203,住友ベークライト,プライム,3
JPX-Nikkei 400,4204,積水化学工業,プライム,13
JPX-Nikkei 400,4307,野村総合研究所,プライム,13
JPX-Nikkei 400,4385,メルカリ,プライム,1
JPX-Nikkei 400,4401,ＡＤＥＫＡ,プライム,3
JPX-Nikkei 400,4403,日油,プライム,11
JPX-Nikkei 400,4452,花王,プライム,13
JPX-Nikkei 400,4503,アステラス製薬,プライム,13
JPX-Nikkei 400,4507,塩野義製薬,プライム,13
JPX-Nikkei 400,4516,日本新薬,プライム,7
JPX-Nikkei 400,4519,中外製薬,プライム,13
JPX-Nikkei 400,4523,エーザイ,プライム,13
JPX-Nikkei 400,4527,ロート製薬,プライム,9
JPX-Nikkei 400,4528,小野薬品工業,プライム,13
JPX-Nikkei 400,4543,テルモ,プライム,13
JPX-Nikkei 400,4568,第一三共,プライム,13
JPX-Nikkei 400,4578,大塚ホールディングス,プライム,12
JPX-Nikkei 400,4587,ペプチドリーム,プライム,6
JPX-Nikkei 400,4612,日本ペイントホールディングス,プライム,13
JPX-Nikkei 400,4613,関西ペイント,プライム,13
JPX-Nikkei 400,4626,太陽ホールディングス,プライム,3
JPX-Nikkei 400,4661,オリエンタルランド,プライム,11
JPX-Nikkei 400,4666,パーク２４,プライム,9
JPX-Nikkei 400,4680,ラウンドワン,プライム,2
JPX-Nikkei 400,4681,リゾートトラスト,プライム,8
JPX-Nikkei 400,4684,オービック,プライム,13
JPX-Nikkei 400,4686,ジャストシステム,プライム,6
JPX-Nikkei 400,4689,ＬＩＮＥヤフー,プライム,13
JPX-Nikkei 400,4704,トレンドマイクロ,プライム,13
JPX-Nikkei 400,4716,日本オラクル,スタンダード,13
JPX-Nikkei 400,4722,フューチャー,プライム,2
JPX-Nikkei 400,4732,ユー・エス・エス,プライム,13
JPX-Nikkei 400,4768,大塚商会,プライム,13
JPX-Nikkei 400,4812,電通総研,プライム,5
JPX-Nikkei 400,4816,東映アニメーション,スタンダード,6
