Price,USD_JPY
Ticker,JPY=X
Date,
2018-01-01,112.66600036621094
2018-01-02,112.7699966430664
2018-01-03,112.24400329589844
2018-01-04,112.60700225830078
2018-01-05,112.78299713134766
2018-01-08,113.15399932861328
2018-01-09,113.14099884033203
2018-01-10,112.75499725341797
2018-01-11,111.44400024414062
2018-01-12,111.29399871826172
2018-01-15,111.0999984741211
2018-01-16,110.58100128173828
2018-01-17,110.38800048828125
2018-01-18,111.3759994506836
2018-01-19,111.0260009765625
2018-01-22,110.68399810791016
2018-01-23,110.96600341796875
2018-01-24,110.10700225830078
2018-01-25,109.32599639892578
2018-01-26,109.7040023803711
2018-01-29,108.63899993896484
2018-01-30,108.9260025024414
2018-01-31,108.73200225830078
2018-02-01,109.20099639892578
2018-02-02,109.40599822998047
2018-02-05,110.03500366210938
2018-02-06,109.09500122070312
2018-02-07,109.62699890136719
2018-02-08,109.19599914550781
2018-02-09,108.52899932861328
2018-02-12,108.80000305175781
2018-02-13,108.69000244140625
2018-02-14,107.76399993896484
2018-02-15,106.58699798583984
2018-02-16,106.11100006103516
2018-02-19,106.26100158691406
2018-02-20,106.70899963378906
2018-02-21,107.38099670410156
2018-02-22,107.55500030517578
2018-02-23,106.81400299072266
2018-02-26,107.0739974975586
2018-02-27,107.06900024414062
2018-02-28,107.4260025024414
2018-03-01,106.63999938964844
2018-03-02,106.16300201416016
2018-03-05,105.55599975585938
2018-03-06,106.25
2018-03-07,105.53700256347656
2018-03-08,106.18599700927734
2018-03-09,106.40599822998047
2018-03-12,106.89099884033203
2018-03-13,106.26000213623047
2018-03-14,106.50800323486328
2018-03-15,106.15499877929688
2018-03-16,106.30899810791016
2018-03-19,105.96900177001953
2018-03-20,105.99600219726562
2018-03-21,106.46900177001953
2018-03-22,105.92900085449219
2018-03-23,104.96800231933594
2018-03-26,104.85900115966797
2018-03-27,105.5
2018-03-28,105.49299621582031
2018-03-29,106.81199645996094
2018-03-30,106.47899627685547
2018-04-02,106.31199645996094
2018-04-03,105.79900360107422
2018-04-04,106.43599700927734
2018-04-05,106.77400207519531
2018-04-06,107.052001953125
2018-04-09,106.96800231933594
2018-04-10,106.7490005493164
2018-04-11,107.11299896240234
2018-04-12,106.8290023803711
2018-04-13,107.22200012207031
2018-04-16,107.49800109863281
2018-04-17,107.0459976196289
2018-04-18,107.01599884033203
2018-04-19,107.34600067138672
2018-04-20,107.43199920654297
2018-04-23,107.86900329589844
2018-04-24,108.76100158691406
2018-04-25,108.8030014038086
2018-04-26,109.36399841308594
2018-04-27,109.30000305175781
2018-04-30,109.0979995727539
2018-05-01,109.322998046875
2018-05-02,109.87200164794922
2018-05-03,109.8270034790039
2018-05-04,109.09600067138672
2018-05-07,109.14600372314453
2018-05-08,108.94300079345703
2018-05-09,109.02400207519531
2018-05-10,109.84700012207031
2018-05-11,109.43599700927734
2018-05-14,109.33799743652344
2018-05-15,109.73100280761719
2018-05-16,110.2969970703125
2018-05-17,110.35900115966797
2018-05-18,110.8280029296875
2018-05-21,110.87999725341797
2018-05-22,110.97799682617188
2018-05-23,110.72599792480469
2018-05-24,109.86900329589844
2018-05-25,109.31199645996094
2018-05-28,109.62300109863281
2018-05-29,109.38899993896484
2018-05-30,108.39399719238281
2018-05-31,108.71199798583984
2018-06-01,108.7490005493164
2018-06-04,109.5979995727539
2018-06-05,109.96299743652344
2018-06-06,109.85900115966797
2018-06-07,110.125
2018-06-08,109.69400024414062
2018-06-11,109.44300079345703
2018-06-12,110.38600158691406
2018-06-13,110.4520034790039
2018-06-14,110.24199676513672
2018-06-15,110.6449966430664
2018-06-18,110.61699676513672
2018-06-19,110.13800048828125
2018-06-20,110.07099914550781
2018-06-21,110.35199737548828
2018-06-22,109.9520034790039
2018-06-25,109.93699645996094
2018-06-26,109.64299774169922
2018-06-27,110.09700012207031
2018-06-28,110.21499633789062
2018-06-29,110.48600006103516
2018-07-02,110.70999908447266
2018-07-03,110.87100219726562
2018-07-04,110.40799713134766
2018-07-05,110.50199890136719
2018-07-06,110.5790023803711
2018-07-09,110.4219970703125
2018-07-10,110.9530029296875
2018-07-11,110.83100128173828
2018-07-12,111.95800018310547
2018-07-13,112.66500091552734
2018-07-16,112.39900207519531
2018-07-17,112.3740005493164
2018-07-18,113.01200103759766
2018-07-19,112.79100036621094
2018-07-20,112.36299896240234
2018-07-23,111.0530014038086
2018-07-24,111.45999908447266
2018-07-25,111.24099731445312
2018-07-26,110.84500122070312
2018-07-27,111.14600372314453
2018-07-30,110.93399810791016
2018-07-31,110.99400329589844
2018-08-01,111.80799865722656
2018-08-02,111.62000274658203
2018-08-03,111.69000244140625
2018-08-06,111.23400115966797
2018-08-07,111.33999633789062
2018-08-08,111.34500122070312
2018-08-09,110.89199829101562
2018-08-10,111.09100341796875
