項目名,出現回数,コンテキストID,連結・個別,期間・時点,単位
受取手形割引高,780,Prior1YearInstant,その他,時点,円
その他の資産の増減額（△は増加）、営業活動によるキャッシュ・フロー,778,Prior1YTDDuration,連結,期間,円
定期預金の純増減額（△は増加）、投資活動によるキャッシュ・フロー（IFRS）,778,Prior1YTDDuration,その他,期間,円
為替差損（IFRS）,771,Prior1YTDDuration,その他,期間,円
未収消費税等の増減額（△は増加）、営業活動によるキャッシュ・フロー,767,Prior1YTDDuration,連結,期間,円
子会社の売却による収入、投資活動によるキャッシュ・フロー（IFRS）,766,Prior1YTDDuration,その他,期間,円
連結の範囲の変更を伴う子会社株式の取得による収入、投資活動によるキャッシュ・フロー,765,Prior1YearDuration,連結,期間,円
補助金収入、営業活動によるキャッシュ・フロー,759,Prior1YearDuration,連結,期間,円
人件費、販売費及び一般管理費,756,Prior1YTDDuration,連結,期間,円
コマーシャル・ペーパーの純増減額（△は減少）、財務活動によるキャッシュ・フロー,750,Prior1YTDDuration,連結,期間,円
連結持分変動計算書（IFRS） [テキストブロック],749,CurrentYearDuration,その他,期間,－
連結財政状態計算書（IFRS） [テキストブロック],749,CurrentYearDuration,その他,期間,－
注記事項－セグメント情報、連結財務諸表（IFRS） [テキストブロック],749,CurrentYearDuration,その他,期間,－
注記事項－１株当たり利益、連結財務諸表（IFRS） [テキストブロック],749,CurrentYearDuration,その他,期間,－
注記事項－有形固定資産、連結財務諸表（IFRS） [テキストブロック],749,CurrentYearDuration,その他,期間,－
銘柄、保有目的が純投資目的以外の目的であるみなし保有株式の明細、最大保有会社,748,CurrentYearInstant_Row1Member,その他,時点,－
連結キャッシュ・フロー計算書（IFRS） [テキストブロック],748,CurrentYearDuration,その他,期間,－
株式交付費、営業活動によるキャッシュ・フロー,747,Prior1YearDuration,連結,期間,円
法人所得税の還付額、営業活動によるキャッシュ・フロー（IFRS）,746,Prior1YearDuration,その他,期間,円
有形固定資産及び無形資産の取得による支出、投資活動によるキャッシュ・フロー（IFRS）,746,Prior1YTDDuration,その他,期間,円
補助金の受取額、営業活動によるキャッシュ・フロー,745,Prior1YTDDuration,連結,期間,円
新株予約権の発行による収入、財務活動によるキャッシュ・フロー,745,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
別途積立金の取崩,743,CurrentYearDuration_NonConsolidatedMember_GeneralReserveMember,個別,期間,円
受取配当金（IFRS）,742,Prior1YTDDuration,その他,期間,円
注記事項－報告企業、連結財務諸表（IFRS） [テキストブロック],739,CurrentYearDuration,その他,期間,－
自己株式処分差損の振替,735,Prior1YearDuration_CapitalSurplusMember,連結,期間,円
注記事項－作成の基礎、連結財務諸表（IFRS） [テキストブロック],734,CurrentYearDuration,その他,期間,－
当該株式の発行者による提出会社の株式の保有の有無、保有目的が純投資目的以外の目的であるみなし保有株式の明細、最大保有会社,734,CurrentYearInstant_Row1Member,その他,時点,－
１株当たり情報、四半期財務諸表 [テキストブロック],733,CurrentYTDDuration,その他,期間,－
四半期累計期間、四半期損益計算書 [テキストブロック],733,CurrentYTDDuration,その他,期間,－
四半期貸借対照表 [テキストブロック],733,CurrentYTDDuration,その他,期間,－
セグメント情報等、四半期財務諸表 [テキストブロック],732,CurrentYTDDuration,その他,期間,－
注記事項－関連当事者、連結財務諸表（IFRS） [テキストブロック],730,CurrentYearDuration,その他,期間,－
注記事項－リース、連結財務諸表（IFRS） [テキストブロック],724,CurrentYearDuration,その他,期間,－
有形固定資産売却損益（△は益）、営業活動によるキャッシュ・フロー,721,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
前渡金の増減額（△は増加）、営業活動によるキャッシュ・フロー,721,Prior1YTDDuration,連結,期間,円
機械及び装置,721,Prior1YearInstant,連結,時点,円
注記事項－後発事象、連結財務諸表（IFRS） [テキストブロック],720,CurrentYearDuration,その他,期間,－
固定資産の取得による支出、投資活動によるキャッシュ・フロー,720,Prior1YTDDuration,連結,期間,円
従業員給料及び手当、販売費及び一般管理費,717,Prior1YTDDuration,連結,期間,円
その他の包括利益を通じて公正価値で測定する金融資産（税引後）、純損益に振り替えられる可能性のあるその他の包括利益（IFRS）,712,CurrentYTDDuration,その他,期間,円
注記事項－金融商品、連結財務諸表（IFRS） [テキストブロック],708,CurrentYearDuration,その他,期間,－
投資有価証券売却益、営業外収益,707,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
注記事項－金融商品の公正価値、要約四半期連結財務諸表（IFRS） [テキストブロック],706,CurrentYTDDuration,その他,期間,－
営業投資有価証券、流動資産,706,Prior1YearInstant,連結,時点,円
連結包括利益計算書（IFRS） [テキストブロック],704,CurrentYearDuration,その他,期間,－
連結損益計算書（IFRS） [テキストブロック],704,CurrentYearDuration,その他,期間,－
固定資産売却損の注記 [テキストブロック],701,CurrentYearDuration,その他,期間,－
引当金、固定負債,696,Prior1YearInstant,連結,時点,円
有形固定資産及び無形資産の売却による収入、投資活動によるキャッシュ・フロー（IFRS）,696,Prior1YTDDuration,その他,期間,円
固定資産処分損益（△は益）、営業活動によるキャッシュ・フロー,692,Prior1YTDDuration,連結,期間,円
債務保証損失引当金,684,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
製品保証引当金繰入額、販売費及び一般管理費,681,Prior1YTDDuration,連結,期間,円
報告セグメントごとの利益又は損失の金額の合計額と四半期損益計算書計上額との差額及び当該差額の主な内容（差異調整に関する事項） [テキストブロック],679,Prior1YTDDuration,その他,期間,－
株式交換による増加,679,Prior1InterimDuration_CapitalSurplusMember,連結,期間,円
有形及び無形固定資産の売却による収入、投資活動によるキャッシュ・フロー,678,Prior1YearDuration,連結,期間,円
雑支出、営業外費用,677,Prior1YTDDuration,連結,期間,円
注記事項－金融収益及び金融費用、連結財務諸表（IFRS） [テキストブロック],677,CurrentYearDuration,その他,期間,－
受取手形割引高及び（又は）受取手形裏書譲渡高 [テキストブロック],674,CurrentQuarterInstant,その他,時点,－
主要な顧客に関する情報（IFRS） [テキストブロック],674,CurrentYearDuration,その他,期間,－
契約負債の増減額（△は減少）、営業活動によるキャッシュ・フロー（IFRS）,674,Prior1YTDDuration,その他,期間,円
デリバティブ評価損、営業外費用,671,Prior1YTDDuration,連結,期間,円
自己株式の処分による収入、財務活動によるキャッシュ・フロー,670,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
関係会社受取配当金、営業活動による収益,670,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
報告セグメントの変更に関する事項（IFRS） [テキストブロック],668,CurrentYTDDuration,その他,期間,－
株式の取得により新たに連結子会社となった会社がある場合には、当該会社の資産及び負債の主な内訳 [テキストブロック],667,CurrentYearDuration,その他,期間,－
その他の包括利益を通じて公正価値で測定する金融資産、受取配当金（IFRS）,667,Prior1YearDuration,その他,期間,円
自己株式取得費用、営業外費用,667,Prior1YTDDuration,連結,期間,円
親会社の所有者への配当金の支払額、財務活動によるキャッシュ・フロー（IFRS）,666,CurrentYTDDuration,その他,期間,円
注記事項－現金及び現金同等物、連結財務諸表（IFRS） [テキストブロック],664,CurrentYearDuration,その他,期間,－
固定資産売却益（IFRS）,661,Prior1YTDDuration,その他,期間,円
転換社債型新株予約権付社債,659,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
注記事項－棚卸資産、連結財務諸表（IFRS） [テキストブロック],657,CurrentYearDuration,その他,期間,－
段階取得に係る差益、特別利益,655,Prior1YearDuration,連結,期間,円
注記事項－法人所得税、連結財務諸表（IFRS） [テキストブロック],654,CurrentYearDuration,その他,期間,－
契約資産、流動資産（IFRS）,651,Prior1YearInstant,その他,時点,円
減価償却累計額、車両運搬具,649,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
株式給付引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,647,Prior1YTDDuration,連結,期間,円
関係会社短期借入金,644,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
ポイント引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,639,Prior1YTDDuration,連結,期間,円
価格変動準備金繰入額、特別損失、保険業,638,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
製品及びサービスに関する情報（IFRS） [テキストブロック],636,CurrentYearDuration,その他,期間,－
連結の範囲の変更に伴う現金及び現金同等物の増減額（△は減少）,636,Prior1YTDDuration,連結,期間,円
構築物,634,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
新株予約権戻入益、営業活動によるキャッシュ・フロー,632,Prior1YearDuration,連結,期間,円
事業構造改善費用、特別損失,632,Prior1YTDDuration,連結,期間,円
氏名、役員の状況（執行役）（議案）,630,FilingDateInstant_jpcrp030000-asr_E03814-000KiyotaAkiraMember,その他,時点,－
注記事項－企業結合、要約四半期連結財務諸表（IFRS） [テキストブロック],628,CurrentYTDDuration,その他,期間,－
注記事項－引当金、連結財務諸表（IFRS） [テキストブロック],627,CurrentYearDuration,その他,期間,－
自己株式の売却による収入、財務活動によるキャッシュ・フロー（IFRS）,626,Prior1YTDDuration,その他,期間,円
固定資産売却損益（△は益）、営業活動によるキャッシュ・フロー（IFRS）,625,Prior1YTDDuration,その他,期間,円
営業原価,625,Prior1YTDDuration,連結,期間,円
売上高（US GAAP）、経営指標等,621,Prior1YTDDuration,その他,期間,円
基本的１株当たり当社株主に帰属する利益又は損失（△）（US GAAP）、経営指標等,621,Prior1YTDDuration,その他,期間,
当社株主に帰属する純利益又は純損失（△）（US GAAP）、経営指標等,621,Prior1YTDDuration,その他,期間,円
注記事項－株式に基づく報酬、連結財務諸表（IFRS） [テキストブロック],616,CurrentYearDuration,その他,期間,－
持分法の適用範囲の変動,614,InterimDuration_RetainedEarningsMember,連結,期間,円
リース債権及びリース投資資産、流動資産,614,Prior1YearInstant,連結,時点,円
貸借対照表計上額（記載省略）、保有目的が純投資目的以外の目的である特定投資株式の明細、提出会社,614,Prior1YearInstant_Row57Member,その他,時点,－
スコープ1の温室効果ガス総排出量、スコープ1及び2の温室効果ガス総排出量,614,Prior1YearDuration_ConsolidatedAccountingGroupMember,その他,期間,
スコープ2の温室効果ガス総排出量、スコープ1及び2の温室効果ガス総排出量,613,Prior1YearDuration_ConsolidatedAccountingGroupMember,その他,期間,
株式数（記載省略）、保有目的が純投資目的以外の目的である特定投資株式の明細、提出会社,611,Prior1YearInstant_Row57Member,その他,時点,－
抱合せ株式消滅差益、特別利益,610,Prior1YTDDuration,連結,期間,円
資本金から剰余金への振替,609,CurrentYearDuration_CapitalStockMember,連結,期間,円
資産除去債務の履行による支出、投資活動によるキャッシュ・フロー,608,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
全労働者、育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則第71条の4第1号における割合を算出、男性労働者の育児休業取得率、提出会社の指標,608,CurrentYearInstant_NonConsolidatedMember,その他,時点,
株式給付引当金繰入額、販売費及び一般管理費,604,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
受取補償金、特別利益,599,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
雇用調整助成金、営業外収益,599,Prior1YTDDuration,連結,期間,円
継続事業、基本的１株当たり当期利益（△損失）（IFRS）,598,CurrentYTDDuration,その他,期間,
契約負債の増減額（△は減少）、営業活動によるキャッシュ・フロー,595,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
支払利息、経常費用、保険業,594,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
連結の範囲の変更を伴う子会社株式の売却による支出、投資活動によるキャッシュ・フロー,594,Prior1YearDuration,連結,期間,円
法定福利費、販売費及び一般管理費,593,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
連結子会社の増資による持分の増減,592,CurrentYearDuration_CapitalSurplusMember,連結,期間,円
所有株式数（普通株式）、役員の状況（執行役）（議案）,592,FilingDateInstant_jpcrp030000-asr_E03814-000KiyotaAkiraMember,その他,時点,
営業収入,592,Prior1YTDDuration,連結,期間,円
不動産賃貸料、営業外収益,589,Prior1YTDDuration,連結,期間,円
注記事項－その他の包括利益、連結財務諸表（IFRS） [テキストブロック],588,CurrentYearDuration,その他,期間,－
注記事項－のれん及び無形資産、連結財務諸表（IFRS） [テキストブロック],585,CurrentYearDuration,その他,期間,－
注記事項－資本金及びその他の資本項目、連結財務諸表（IFRS） [テキストブロック],584,CurrentYearDuration,その他,期間,－
関係会社事業損失引当金、固定負債,584,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
継続事業からの当期利益（△損失）（IFRS）,584,CurrentYTDDuration,その他,期間,円
賞与、販売費及び一般管理費,582,Prior1YTDDuration,連結,期間,円
スコープ1及び2の温室効果ガス総排出量、スコープ1及び2の温室効果ガス総排出量,582,Prior1YearDuration_ConsolidatedAccountingGroupMember,その他,期間,
リース負債、支払利息（IFRS）,582,Prior1YearDuration,その他,期間,円
関係会社との取引に関する注記 [テキストブロック],581,CurrentYearDuration_NonConsolidatedMember,その他,期間,－
重要な後発事象、四半期財務諸表 [テキストブロック],580,CurrentYTDDuration,その他,期間,－
注記事項－配当金、連結財務諸表（IFRS） [テキストブロック],579,CurrentYearDuration,その他,期間,－
任期、役員の状況（執行役）（議案）,577,FilingDateInstant_jpcrp030000-asr_E03814-000KiyotaAkiraMember,その他,時点,－
その他、有形固定資産の内訳（IFRS）,577,Prior1YearInstant,その他,時点,円
略歴、役員の状況（執行役）（議案） [テキストブロック],577,FilingDateInstant_jpcrp030000-asr_E03814-000KiyotaAkiraMember,その他,時点,－
注記事項－資本金及びその他の資本項目、要約四半期連結財務諸表（IFRS） [テキストブロック],576,CurrentYTDDuration,その他,期間,－
役職名、役員の状況（執行役）（議案）,575,FilingDateInstant_jpcrp030000-asr_E03814-000KiyotaAkiraMember,その他,時点,－
製品保証引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,575,Prior1YearDuration,連結,期間,円
契約負債の金額の注記 [テキストブロック],573,CurrentYearInstant,その他,時点,－
連結財務諸表等の適正性を確保するための特段の取組み及び指定国際会計基準に基づいて連結財務諸表等を適正に作成することができる体制、経理の状況,573,CurrentYearDuration,その他,期間,－
減価償却累計額、機械及び装置,572,Prior1YearInstant,連結,時点,円
事業譲受による支出、投資活動によるキャッシュ・フロー（IFRS）,572,Prior1YTDDuration,その他,期間,円
原材料,570,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
持分法の適用の手続について特に記載する必要があると認められる事項がある場合には、その内容 [テキストブロック],568,CurrentYearDuration,その他,期間,－
株式数（記載省略）、保有目的が純投資目的以外の目的である特定投資株式の明細、最大保有会社,566,Prior1YearInstant_Row51Member,その他,時点,－
貸借対照表計上額（記載省略）、保有目的が純投資目的以外の目的である特定投資株式の明細、最大保有会社,566,Prior1YearInstant_Row51Member,その他,時点,－
生年月日、役員の状況（執行役）（議案）,564,FilingDateInstant_jpcrp030000-asr_E03814-000KiyotaAkiraMember,その他,時点,－
収益認識関係、四半期財務諸表 [テキストブロック],564,CurrentYTDDuration,その他,期間,－
有価証券利息、営業外収益,564,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
持分法で会計処理されている投資の取得による支出、投資活動によるキャッシュ・フロー（IFRS）,562,CurrentYTDDuration,その他,期間,円
非継続事業からの当期利益（△損失）（IFRS）,562,CurrentYTDDuration,その他,期間,円
注記事項－営業債権及びその他の債権、連結財務諸表（IFRS） [テキストブロック],561,CurrentYearDuration,その他,期間,－
固定資産の売却による収入、投資活動によるキャッシュ・フロー,560,Prior1YTDDuration,連結,期間,円
注記事項－営業債務及びその他の債務、連結財務諸表（IFRS） [テキストブロック],559,CurrentYearDuration,その他,期間,－
非継続事業、基本的１株当たり当期利益（△損失）（IFRS）,558,CurrentYTDDuration,その他,期間,
注記事項－偶発債務、要約四半期連結財務諸表（IFRS） [テキストブロック],558,CurrentYTDDuration,その他,期間,－
資金運用収益、経常収益、銀行業,556,Prior1InterimDuration,連結,期間,円
資金調達費用、経常費用、銀行業,556,Prior1InterimDuration,連結,期間,円
負ののれん,554,Prior1YearInstant,連結,時点,円
その他の金融資産の取得による支出、投資活動によるキャッシュ・フロー（IFRS）,554,Prior1YearDuration,その他,期間,円
保有目的、業務提携等の概要、定量的な保有効果及び株式数が増加した理由、保有目的が純投資目的以外の目的である特定投資株式の明細、投資株式計上額が次に大きい会社,553,CurrentYearInstant_Row1Member,その他,時点,－
注記事項－その他の金融資産、連結財務諸表（IFRS） [テキストブロック],553,CurrentYearDuration,その他,期間,－
株式の発行による収入、財務活動によるキャッシュ・フロー（IFRS）,552,Prior1YTDDuration,その他,期間,円
保険金の受取額、営業活動によるキャッシュ・フロー,552,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
完成工事原価、建設業,552,Prior1YTDDuration,連結,期間,円
完成工事高、建設業,552,Prior1YTDDuration,連結,期間,円
その他、有形固定資産の内訳、取得原価（IFRS）,551,Prior1YearInstant,その他,時点,円
当座貸越契約及び（又は）貸出コミットメントに関する貸手の注記 [テキストブロック],551,CurrentYearInstant,その他,時点,－
脚注（執行役） [テキストブロック],549,FilingDateInstant_Row1Member,その他,時点,－
脚注（保有目的が純投資目的以外の目的であるみなし保有株式）、提出会社 [テキストブロック],548,CurrentYearInstant_Row1Member,その他,時点,－
その他、有形固定資産の内訳、減価償却累計額及び減損損失累計額（IFRS）,547,Prior1YearInstant,その他,時点,円
長期預り金,546,Prior1YearInstant,連結,時点,円
給料、販売費及び一般管理費,546,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
注記事項－従業員給付、連結財務諸表（IFRS） [テキストブロック],544,CurrentYearDuration,その他,期間,－
継続事業、希薄化後１株当たり当期利益（△損失）（IFRS）,544,CurrentYTDDuration,その他,期間,
利益準備金の積立,544,Prior1YearDuration_NonConsolidatedMember_LegalRetainedEarningsMember,個別,期間,円
準備金から剰余金への振替,543,Prior1YearDuration_NonConsolidatedMember_LegalCapitalSurplusMember,個別,期間,円
株式給付引当金、流動負債,543,Prior1YearInstant,連結,時点,円
特別法上の引当金,538,Prior1YearInstant,連結,時点,円
のれん及び無形資産、取得原価（IFRS）,537,Prior1YearInstant,その他,時点,円
希薄化後１株当たり当社株主に帰属する利益又は損失（△）（US GAAP）、経営指標等,537,Prior1YTDDuration,その他,期間,
荷造運搬費、販売費及び一般管理費,537,Prior1YTDDuration,連結,期間,円
のれん及び無形資産、償却累計額及び減損損失累計額（IFRS）,537,Prior1YearInstant,その他,時点,円
その他負債、負債の部、銀行業,536,Prior1YearInstant,連結,時点,円
貸出金、資産の部、銀行業,536,Prior1YearInstant,連結,時点,円
貸倒引当金、資産の部、銀行業,536,Prior1YearInstant,連結,時点,円
有価証券、資産の部、銀行業,536,Prior1YearInstant,連結,時点,円
外国為替、資産の部、銀行業,536,Prior1YearInstant,連結,時点,円
その他資産、資産の部、銀行業,536,Prior1YearInstant,連結,時点,円
現金預け金、資産の部、銀行業,536,Prior1YearInstant,連結,時点,円
保険積立金,535,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
売却損益の合計額、非上場株式、保有目的が純投資目的である投資株式、提出会社,535,CurrentYearDuration,その他,期間,円
受取配当金の合計額、非上場株式、保有目的が純投資目的である投資株式、提出会社,535,CurrentYearDuration,その他,期間,円
その他経常費用、経常費用、銀行業,534,Prior1InterimDuration,連結,期間,円
経常費用、銀行業,534,Prior1InterimDuration,連結,期間,円
その他経常収益、経常収益、銀行業,534,Prior1InterimDuration,連結,期間,円
投資事業組合運用損益（△は益）、営業活動によるキャッシュ・フロー,533,Prior1YTDDuration,連結,期間,円
受取補償金、営業外収益,533,Prior1YTDDuration,連結,期間,円
事業譲渡益、特別利益,533,Prior1YearDuration,連結,期間,円
税引前利益又は税引前損失（△）（US GAAP）、経営指標等,533,Prior1YTDDuration,その他,期間,円
工事負担金等受入額、特別利益,528,Prior1YTDDuration,連結,期間,円
関係会社株式の売却による収入、投資活動によるキャッシュ・フロー,528,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
役員株式給付引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,527,Prior1YearDuration,連結,期間,円
ポイント引当金繰入額、販売費及び一般管理費,527,Prior1YearDuration,連結,期間,円
一般管理費、販売費及び一般管理費,526,Prior1YearDuration,連結,期間,円
株主優待引当金、流動負債,526,Prior1YearInstant,連結,時点,円
支払報酬、販売費及び一般管理費,524,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
売却損益の合計額、非上場株式以外の株式、保有目的が純投資目的である投資株式、提出会社,523,CurrentYearDuration,その他,期間,円
店舗閉鎖損失、特別損失,522,Prior1YTDDuration,連結,期間,円
従業員給付費用、販売費及び一般管理費（IFRS）,522,Prior1YearDuration,その他,期間,円
為替差損益（△は益）、営業活動によるキャッシュ・フロー（IFRS）,522,Prior1YTDDuration,その他,期間,円
受取配当金の合計額、非上場株式以外の株式、保有目的が純投資目的である投資株式、提出会社,521,CurrentYearDuration,その他,期間,円
その他の棚卸資産,520,Prior1YearInstant,連結,時点,円
注記事項－重要な会計上の見積り及び判断、連結財務諸表（IFRS） [テキストブロック],519,CurrentYearDuration,その他,期間,－
注記事項－子会社、連結財務諸表（IFRS） [テキストブロック],516,CurrentYearDuration,その他,期間,－
借用金、負債の部、銀行業,516,Prior1YearInstant,連結,時点,円
支払手形・工事未払金等、建設業,516,Prior1YearInstant,連結,時点,円
その他の関係会社有価証券,514,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
電話加入権,511,Prior1YearInstant,連結,時点,円
建物附属設備（純額）,507,Prior1YearInstant,連結,時点,円
売現先勘定、負債の部、銀行業,504,Prior1YearInstant,連結,時点,円
注記事項－売上収益、連結財務諸表（IFRS） [テキストブロック],504,CurrentYearDuration,その他,期間,－
非継続事業、希薄化後１株当たり当期利益（△損失）（IFRS）,504,CurrentYTDDuration,その他,期間,
現金及び現金同等物（US GAAP）、経営指標等,503,Prior1QuarterInstant,その他,時点,円
財務活動によるキャッシュ・フロー（US GAAP）、経営指標等,503,Prior1YTDDuration,その他,期間,円
総資産額（US GAAP）、経営指標等,503,Prior1QuarterInstant,その他,時点,円
投資活動によるキャッシュ・フロー（US GAAP）、経営指標等,503,Prior1YTDDuration,その他,期間,円
営業活動によるキャッシュ・フロー（US GAAP）、経営指標等,503,Prior1YTDDuration,その他,期間,円
自己資本比率（US GAAP）、経営指標等,503,Prior1QuarterInstant,その他,時点,
定期預金の純増減額（△は増加）、投資活動によるキャッシュ・フロー,502,Prior1YTDDuration,連結,期間,円
受取手形・完成工事未収入金等、建設業,502,Prior1YearInstant,連結,時点,円
役務取引等収益、経常収益、銀行業,500,Prior1InterimDuration,連結,期間,円
有価証券利息配当金、経常収益、銀行業,500,Prior1InterimDuration,連結,期間,円
その他業務収益、経常収益、銀行業,500,Prior1InterimDuration,連結,期間,円
貸出金利息、経常収益、銀行業,500,Prior1InterimDuration,連結,期間,円
役務取引等費用、経常費用、銀行業,500,Prior1InterimDuration,連結,期間,円
営業経費、経常費用、銀行業,500,Prior1InterimDuration,連結,期間,円
営業債権、流動資産（IFRS）,496,Prior1YearInstant,その他,時点,円
退職給付に係る資産及び負債の増減額、営業活動によるキャッシュ・フロー（IFRS）,496,Prior1YTDDuration,その他,期間,円
有価証券の償還による収入、投資活動によるキャッシュ・フロー,491,Prior1YTDDuration,連結,期間,円
敷金及び保証金の差入による支出、投資活動によるキャッシュ・フロー（IFRS）,488,Prior1YTDDuration_NonConsolidatedMember,その他,期間,円
持分変動利益、特別利益,486,Prior1YearDuration,連結,期間,円
事業用土地の再評価に関する注記 [テキストブロック],486,InterimInstant,その他,時点,－
仕入債務及びその他の債務、流動負債（IFRS）,486,Prior1YearInstant,その他,時点,円
売上債権及びその他の債権、流動資産（IFRS）,486,Prior1YearInstant_NonConsolidatedMember,その他,時点,円
評価損益の合計額、非上場株式以外の株式、保有目的が純投資目的である投資株式、提出会社,484,CurrentYearDuration,その他,期間,円
減損損失戻入（IFRS）,483,Prior1YTDDuration,その他,期間,円
買入金銭債権、資産の部、銀行業,482,Prior1YearInstant,連結,時点,円
利息及び配当金収入、経常収益、保険業,482,Prior1InterimDuration,連結,期間,円
有価証券の取得による支出、投資活動によるキャッシュ・フロー（IFRS）,480,Prior1YearDuration,その他,期間,円
評価損益の合計額、非上場株式、保有目的が純投資目的である投資株式、提出会社,478,CurrentYearDuration,その他,期間,円
その他の投資（IFRS）,476,Prior1YearInstant,その他,時点,円
完成工事総利益又は完成工事総損失（△）、建設業,472,Prior1YTDDuration,連結,期間,円
注記事項－販売費及び一般管理費、連結財務諸表（IFRS） [テキストブロック],472,CurrentYearDuration,その他,期間,－
その他利益剰余金,471,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
固定資産圧縮損、営業活動によるキャッシュ・フロー,471,Prior1YTDDuration,連結,期間,円
重要な非資金取引の内容 [テキストブロック],468,CurrentYearDuration_NonConsolidatedMember,その他,期間,－
営業債務、流動負債（IFRS）,468,Prior1YearInstant,その他,時点,円
有価証券及び投資有価証券の取得による支出、投資活動によるキャッシュ・フロー,464,Prior1YTDDuration,連結,期間,円
営業貸付金、流動資産,458,Prior1YearInstant,連結,時点,円
短期借入金の返済による支出、財務活動によるキャッシュ・フロー（IFRS）,457,Prior1YTDDuration,その他,期間,円
広告宣伝費（IFRS）,457,Prior1YTDDuration,その他,期間,円
重要な契約等 [テキストブロック],457,FilingDateInstant,その他,時点,－
債務保証損失引当金、流動負債,456,Prior1YearInstant,連結,時点,円
短期借入れによる収入、財務活動によるキャッシュ・フロー（IFRS）,455,Prior1YTDDuration,その他,期間,円
注記事項－持分法で会計処理されている投資、連結財務諸表（IFRS） [テキストブロック],455,CurrentYearDuration,その他,期間,－
特別償却準備金の積立,454,Prior1YearDuration_NonConsolidatedMember_ReserveForSpecialDepreciationMember,個別,期間,円
支払承諾、負債の部、銀行業,454,Prior1YearInstant,連結,時点,円
ストックオプションの行使による収入、財務活動によるキャッシュ・フロー,452,Prior1YTDDuration,連結,期間,円
その他業務費用、経常費用、銀行業,452,Prior1InterimDuration,連結,期間,円
注記事項－企業結合、連結財務諸表（IFRS） [テキストブロック],450,CurrentYearDuration,その他,期間,－
役員報酬及び給料手当、販売費及び一般管理費,449,Prior1YTDDuration,連結,期間,円
債券貸借取引受入担保金、負債の部、銀行業,448,Prior1YearInstant,連結,時点,円
有形固定資産除売却損益（△は益）、営業活動によるキャッシュ・フロー,448,Prior1YTDDuration,連結,期間,円
譲渡性預金、負債の部、銀行業,448,Prior1YearInstant,連結,時点,円
預金、負債の部、銀行業,448,Prior1YearInstant,連結,時点,円
段階取得に係る差損益（△は益）、営業活動によるキャッシュ・フロー,447,Prior1YearDuration,連結,期間,円
注記事項－偶発債務、連結財務諸表（IFRS） [テキストブロック],446,CurrentYearDuration,その他,期間,－
預金利息、経常費用、銀行業,446,Prior1InterimDuration,連結,期間,円
固定資産廃棄損、特別損失,446,Prior1YTDDuration,連結,期間,円
注記事項－キャッシュ・フロー情報、連結財務諸表（IFRS） [テキストブロック],445,CurrentYearDuration,その他,期間,－
受取保険金、営業活動によるキャッシュ・フロー,444,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
減価償却累計額、構築物,444,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
支払承諾見返、資産の部、銀行業,444,Prior1YearInstant,連結,時点,円
運賃及び荷造費、販売費及び一般管理費,444,Prior1YTDDuration,連結,期間,円
契約者配当準備金繰入額、保険業、生命保険,444,Prior1InterimDuration,連結,期間,円
負ののれん発生益、営業活動によるキャッシュ・フロー,442,Prior1YearDuration,連結,期間,円
投資損失引当金,440,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
土地再評価差額金（税引後）、その他の包括利益,438,Prior1YTDDuration,連結,期間,円
金銭の信託、資産の部、銀行業,438,Prior1YearInstant,連結,時点,円
その他、営業活動によるキャッシュ・フロー（IFRS）,436,CurrentYTDDuration,その他,期間,円
