No.,コード,銘柄名
1,2160,ジーエヌアイグループ
2,3479,ティーケーピー
3,4051,ＧＭＯフィナンシャルゲート
4,4375,セーフィー
5,4478,フリー
6,4485,ＪＴＯＷＥＲ
7,5253,カバー
8,5842,インテグラル
9,6027,弁護士ドットコム
10,7157,ライフネット生命保険
11,7342,ウェルスナビ
12,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
13,9158,シーユーシー
14,9164,トライト
15,9166,ＧＥＮＤＡ
16,9204,スカイマーク
17,9348,ｉｓｐａｃｅ
18,141A,トライアルホールディングス
19,186A,アストロスケールホールディングス
20,215A,タイミー
