日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20250731,中部飼料,2053,食料品,0.0055%,TOPIX Small 2
20250731,フィード・ワン,2060,食料品,0.0037%,TOPIX Small 2
20250731,日本甜菜製糖,2108,食料品,0.0030%,TOPIX Small 2
20250731,ＤＭ三井製糖,2109,食料品,0.0070%,TOPIX Small 2
20250731,ウェルネオシュガー,2117,食料品,0.0030%,TOPIX Small 2
20250731,ＬＩＦＵＬＬ,2120,サービス業,0.0014%,TOPIX Small 2
20250731,ＭＩＸＩ,2121,サービス業,0.0155%,TOPIX Small 1
20250731,ジェイエイシーリクルートメント,2124,サービス業,0.0094%,TOPIX Small 1
20250731,日本Ｍ＆Ａセンターホールディングス,2127,サービス業,0.0275%,TOPIX Mid400
20250731,メンバーズ,2130,サービス業,0.0011%,TOPIX Small 2
20250731,ＵＴグループ,2146,サービス業,0.0083%,TOPIX Small 1
20250731,アイティメディア,2148,サービス業,0.0022%,TOPIX Small 2
20250731,ケアネット,2150,サービス業,0.0032%,TOPIX Small 2
20250731,Ｅ・Ｊホールディングス,2153,サービス業,0.0029%,TOPIX Small 2
20250731,オープンアップグループ,2154,サービス業,0.0152%,TOPIX Small 1
20250731,コシダカホールディングス,2157,サービス業,0.0092%,TOPIX Small 1
20250731,パソナグループ,2168,サービス業,0.0060%,TOPIX Small 1
20250731,リンクアンドモチベーション,2170,サービス業,0.0029%,TOPIX Small 1
20250731,エス・エム・エス,2175,サービス業,0.0144%,TOPIX Mid400
20250731,パーソルホールディングス,2181,サービス業,0.0651%,TOPIX Mid400
20250731,クックパッド,2193,サービス業,0.0010%,TOPIX Small 2
20250731,森永製菓,2201,食料品,0.0224%,TOPIX Mid400
20250731,中村屋,2204,食料品,0.0018%,TOPIX Small 2
20250731,江崎グリコ,2206,食料品,0.0315%,TOPIX Mid400
20250731,名糖産業,2207,食料品,0.0022%,TOPIX Small 2
20250731,井村屋グループ,2209,食料品,0.0032%,TOPIX Small 2
20250731,不二家,2211,食料品,0.0040%,TOPIX Small 2
20250731,山崎製パン,2212,食料品,0.0513%,TOPIX Mid400
20250731,モロゾフ,2217,食料品,0.0035%,TOPIX Small 2
20250731,亀田製菓,2220,食料品,0.0061%,TOPIX Small 1
20250731,寿スピリッツ,2222,食料品,0.0283%,TOPIX Mid400
20250731,カルビー,2229,食料品,0.0300%,TOPIX Mid400
20250731,森永乳業,2264,食料品,0.0288%,TOPIX Mid400
20250731,六甲バター,2266,食料品,0.0024%,TOPIX Small 2
20250731,ヤクルト本社,2267,食料品,0.0795%,TOPIX Mid400
20250731,明治ホールディングス,2269,食料品,0.0929%,TOPIX Mid400
20250731,雪印メグミルク,2270,食料品,0.0181%,TOPIX Small 1
20250731,プリマハム,2281,食料品,0.0076%,TOPIX Small 1
20250731,日本ハム,2282,食料品,0.0498%,TOPIX Mid400
20250731,丸大食品,2288,食料品,0.0045%,TOPIX Small 2
20250731,Ｓ　Ｆｏｏｄｓ,2292,食料品,0.0069%,TOPIX Small 1
20250731,柿安本店,2294,食料品,0.0027%,TOPIX Small 2
20250731,伊藤ハム米久ホールディングス,2296,食料品,0.0184%,TOPIX Small 1
20250731,学情,2301,サービス業,0.0021%,TOPIX Small 2
20250731,スタジオアリス,2305,サービス業,0.0026%,TOPIX Small 2
20250731,クロスキャット,2307,情報・通信業,0.0015%,TOPIX Small 2
20250731,システナ,2317,情報・通信業,0.0138%,TOPIX Small 1
20250731,ＮＪＳ,2325,サービス業,0.0031%,TOPIX Small 2
20250731,デジタルアーツ,2326,情報・通信業,0.0122%,TOPIX Small 1
20250731,日鉄ソリューションズ,2327,情報・通信業,0.0292%,TOPIX Mid400
20250731,ＡＬＳＯＫ,2331,サービス業,0.0433%,TOPIX Mid400
20250731,キューブシステム,2335,情報・通信業,0.0015%,TOPIX Small 2
20250731,いちご,2337,不動産業,0.0080%,TOPIX Small 1
20250731,日本駐車場開発,2353,不動産業,0.0075%,TOPIX Small 1
20250731,コア,2359,情報・通信業,0.0021%,TOPIX Small 2
20250731,カカクコム,2371,サービス業,0.0460%,TOPIX Mid400
20250731,セントケア・ホールディング,2374,サービス業,0.0012%,TOPIX Small 2
20250731,ルネサンス,2378,サービス業,0.0022%,TOPIX Small 2
20250731,ディップ,2379,サービス業,0.0105%,TOPIX Small 1
20250731,ＳＢＳホールディングス,2384,陸運業,0.0069%,TOPIX Small 1
20250731,デジタルホールディングス,2389,サービス業,0.0015%,TOPIX Small 2
20250731,新日本科学,2395,サービス業,0.0036%,TOPIX Small 2
20250731,エムスリー,2413,サービス業,0.0915%,TOPIX Mid400
20250731,ワールドホールディングス,2429,サービス業,0.0027%,TOPIX Small 2
20250731,ディー・エヌ・エー,2432,サービス業,0.0235%,TOPIX Mid400
20250731,博報堂ＤＹホールディングス,2433,サービス業,0.0334%,TOPIX Mid400
20250731,ぐるなび,2440,サービス業,0.0012%,TOPIX Small 2
20250731,タカミヤ,2445,サービス業,0.0011%,TOPIX Small 2
20250731,ファンコミュニケーションズ,2461,サービス業,0.0017%,TOPIX Small 2
20250731,ライク,2462,サービス業,0.0018%,TOPIX Small 2
20250731,エスプール,2471,サービス業,0.0021%,TOPIX Small 2
20250731,ＷＤＢホールディングス,2475,サービス業,0.0022%,TOPIX Small 2
20250731,手間いらず,2477,情報・通信業,0.0010%,TOPIX Small 2
20250731,アドウェイズ,2489,サービス業,0.0009%,TOPIX Small 2
20250731,バリューコマース,2491,サービス業,0.0017%,TOPIX Small 2
20250731,インフォマート,2492,サービス業,0.0097%,TOPIX Small 1
20250731,サッポロホールディングス,2501,食料品,0.0495%,TOPIX Mid400
20250731,アサヒグループホールディングス,2502,食料品,0.3399%,TOPIX Large70
20250731,キリンホールディングス,2503,食料品,0.1964%,TOPIX Large70
20250731,シマダヤ,250A,食料品,0.0013%,TOPIX Small 2
20250731,宝ホールディングス,2531,食料品,0.0203%,TOPIX Mid400
20250731,オエノンホールディングス,2533,食料品,0.0042%,TOPIX Small 2
20250731,養命酒製造,2540,食料品,0.0025%,TOPIX Small 2
20250731,飛島ホールディングス,256A,建設業,0.0047%,TOPIX Small 2
20250731,コカ・コーラ　ボトラーズジャパンホールディングス,2579,食料品,0.0379%,TOPIX Mid400
20250731,ライフドリンク　カンパニー,2585,食料品,0.0116%,TOPIX Small 2
20250731,サントリー食品インターナショナル,2587,食料品,0.0759%,TOPIX Mid400
20250731,ダイドーグループホールディングス,2590,食料品,0.0071%,TOPIX Small 1
20250731,伊藤園,2593,食料品,0.0250%,TOPIX Mid400
20250731,キーコーヒー,2594,食料品,0.0053%,TOPIX Small 2
20250731,日清オイリオグループ,2602,食料品,0.0171%,TOPIX Small 1
20250731,不二製油,2607,食料品,0.0134%,TOPIX Mid400
20250731,Ｊ－オイルミルズ,2613,食料品,0.0056%,TOPIX Small 2
20250731,インターメスティック,262A,小売業,0.0022%,TOPIX Small 2
20250731,サンエー,2659,小売業,0.0129%,TOPIX Small 1
20250731,カワチ薬品,2664,小売業,0.0055%,TOPIX Small 1
20250731,エービーシー・マート,2670,小売業,0.0314%,TOPIX Mid400
20250731,ハードオフコーポレーション,2674,小売業,0.0017%,TOPIX Small 2
20250731,高千穂交易,2676,卸売業,0.0040%,TOPIX Small 2
20250731,アスクル,2678,小売業,0.0090%,TOPIX Small 1
20250731,ゲオホールディングス,2681,小売業,0.0047%,TOPIX Small 1
20250731,アダストリア,2685,小売業,0.0105%,TOPIX Small 1
20250731,リガク・ホールディングス,268A,精密機器,0.0112%,TOPIX Small 2
20250731,伊藤忠食品,2692,卸売業,0.0058%,TOPIX Small 2
20250731,くら寿司,2695,小売業,0.0124%,TOPIX Small 1
20250731,キャンドゥ,2698,小売業,0.0033%,TOPIX Small 2
20250731,パルグループホールディングス,2726,小売業,0.0292%,TOPIX Small 1
20250731,エディオン,2730,小売業,0.0221%,TOPIX Small 1
20250731,あらた,2733,卸売業,0.0125%,TOPIX Small 1
20250731,サーラコーポレーション,2734,小売業,0.0051%,TOPIX Small 2
20250731,トーメンデバイス,2737,卸売業,0.0022%,TOPIX Small 2
20250731,ハローズ,2742,小売業,0.0050%,TOPIX Small 2
20250731,ＪＰホールディングス,2749,サービス業,0.0034%,TOPIX Small 1
20250731,フジオフードグループ本社,2752,小売業,0.0047%,TOPIX Small 1
20250731,あみやき亭,2753,小売業,0.0028%,TOPIX Small 2
20250731,東京エレクトロン　デバイス,2760,卸売業,0.0067%,TOPIX Small 1
20250731,円谷フィールズホールディングス,2767,卸売業,0.0096%,TOPIX Small 1
20250731,双日,2768,卸売業,0.1017%,TOPIX Mid400
20250731,アルフレッサ　ホールディングス,2784,卸売業,0.0489%,TOPIX Mid400
20250731,大黒天物産,2791,小売業,0.0065%,TOPIX Small 1
20250731,ハニーズホールディングス,2792,小売業,0.0033%,TOPIX Small 2
20250731,キッコーマン,2801,食料品,0.1035%,TOPIX Mid400
20250731,味の素,2802,食料品,0.4329%,TOPIX Large70
20250731,ブルドックソース,2804,食料品,0.0026%,TOPIX Small 2
20250731,キユーピー,2809,食料品,0.0523%,TOPIX Mid400
20250731,ハウス食品グループ本社,2810,食料品,0.0222%,TOPIX Mid400
20250731,カゴメ,2811,食料品,0.0364%,TOPIX Mid400
20250731,アリアケジャパン,2815,食料品,0.0158%,TOPIX Small 1
20250731,エバラ食品工業,2819,食料品,0.0015%,TOPIX Small 2
20250731,キオクシアホールディングス,285A,電気機器,0.0359%,TOPIX Small 2
20250731,ニチレイ,2871,食料品,0.0336%,TOPIX Mid400
20250731,横浜冷凍,2874,卸売業,0.0067%,TOPIX Small 2
20250731,東洋水産,2875,食料品,0.1056%,TOPIX Mid400
20250731,イートアンドホールディングス,2882,食料品,0.0026%,TOPIX Small 2
20250731,ヨシムラ・フード・ホールディングス,2884,食料品,0.0011%,TOPIX Small 2
20250731,日清食品ホールディングス,2897,食料品,0.0842%,TOPIX Mid400
20250731,フジッコ,2908,食料品,0.0039%,TOPIX Small 2
20250731,ロック・フィールド,2910,食料品,0.0041%,TOPIX Small 1
20250731,日本たばこ産業,2914,食料品,0.6188%,TOPIX Core30
20250731,ケンコーマヨネーズ,2915,食料品,0.0028%,TOPIX Small 2
20250731,わらべや日洋ホールディングス,2918,食料品,0.0043%,TOPIX Small 1
20250731,なとり,2922,食料品,0.0030%,TOPIX Small 2
20250731,ファーマフーズ,2929,食料品,0.0028%,TOPIX Small 2
20250731,北の達人コーポレーション,2930,化学,0.0015%,TOPIX Small 2
20250731,ユーグレナ,2931,食料品,0.0076%,TOPIX Small 1
20250731,紀文食品,2933,食料品,0.0023%,TOPIX Small 2
20250731,ピックルスホールディングス,2935,食料品,0.0014%,TOPIX Small 2
20250731,スター・マイカ・ホールディングス,2975,不動産業,0.0025%,TOPIX Small 2
20250731,ＳＲＥホールディングス,2980,不動産業,0.0028%,TOPIX Small 1
20250731,片倉工業,3001,繊維製品,0.0066%,TOPIX Small 2
20250731,グンゼ,3002,繊維製品,0.0131%,TOPIX Small 1
20250731,ヒューリック,3003,不動産業,0.0994%,TOPIX Mid400
20250731,ラサ商事,3023,卸売業,0.0020%,TOPIX Small 2
20250731,アルペン,3028,小売業,0.0059%,TOPIX Small 1
20250731,ラクーンホールディングス,3031,情報・通信業,0.0012%,TOPIX Small 2
20250731,クオールホールディングス,3034,小売業,0.0064%,TOPIX Small 1
20250731,アルコニックス,3036,卸売業,0.0076%,TOPIX Small 1
20250731,神戸物産,3038,卸売業,0.0897%,TOPIX Mid400
20250731,ソリトンシステムズ,3040,情報・通信業,0.0017%,TOPIX Small 2
20250731,ジンズホールディングス,3046,小売業,0.0138%,TOPIX Small 1
20250731,ビックカメラ,3048,小売業,0.0214%,TOPIX Mid400
20250731,ＤＣＭホールディングス,3050,小売業,0.0188%,TOPIX Small 1
20250731,ペッパーフードサービス,3053,小売業,0.0018%,TOPIX Small 2
20250731,ＭｏｎｏｔａＲＯ,3064,小売業,0.0971%,TOPIX Mid400
20250731,あい　ホールディングス,3076,卸売業,0.0110%,TOPIX Small 1
20250731,Ｊ．フロント　リテイリング,3086,小売業,0.0595%,TOPIX Mid400
20250731,ドトール・日レスホールディングス,3087,小売業,0.0113%,TOPIX Small 1
20250731,マツキヨココカラ＆カンパニー,3088,小売業,0.1368%,TOPIX Mid400
20250731,ブロンコビリー,3091,小売業,0.0060%,TOPIX Small 1
20250731,ＺＯＺＯ,3092,小売業,0.0836%,TOPIX Mid400
20250731,トレジャー・ファクトリー,3093,小売業,0.0030%,TOPIX Small 2
20250731,物語コーポレーション,3097,小売業,0.0194%,TOPIX Small 1
20250731,三越伊勢丹ホールディングス,3099,小売業,0.0808%,TOPIX Mid400
20250731,東洋紡,3101,繊維製品,0.0102%,TOPIX Small 1
20250731,ユニチカ,3103,繊維製品,0.0014%,TOPIX Small 2
20250731,富士紡ホールディングス,3104,繊維製品,0.0055%,TOPIX Small 2
20250731,日清紡ホールディングス,3105,電気機器,0.0175%,TOPIX Mid400
