No.,コード,銘柄名
1,2702,日本マクドナルドホールディングス
2,2782,セリア
3,3222,ユナイテッド・スーパーマーケット・ホールディングス
4,3254,プレサンスコーポレーション
5,4716,日本オラクル
6,4966,上村工業
7,6324,ハーモニック・ドライブ・システムズ
8,6670,ＭＣＪ
9,6890,フェローテックホールディングス
10,6960,フクダ電子
11,7105,三菱ロジスネクスト
12,7163,住信ＳＢＩネット銀行
13,7412,アトム
14,7451,三菱食品
15,7564,ワークマン
16,7716,ナカニシ
17,7906,ヨネックス
18,8066,三谷商事
19,8572,アコム
20,9436,沖縄セルラー電話
