Code,mean,count,std,min,max
202A,0.49018365785714285,28,0.17392826123068372,0.109127492,0.818333209
5258,0.4816856751582278,158,0.2808448198593073,-0.623645306,0.845175087
228A,0.4638222201428571,21,0.3082534437664225,-0.670497596,0.677742422
9338,0.4606284653307985,263,0.2094414570200188,-0.586960137,0.846771359
4051,0.4539232175290323,155,0.24084347937092973,-0.513517618,0.783847988
6026,0.446198918656304,579,0.19126180269140503,-0.679687917,0.824157476
5590,0.4327312357868852,183,0.21875512919242884,-0.454646468,0.843669355
9558,0.4217592925,8,0.309037494602383,-0.203433454,0.820255339
5034,0.4204373538915663,83,0.21655387677670995,-0.335240066,0.837810278
3769,0.4199641748934338,929,0.2176410353937166,-0.583419859,0.782698452
4419,0.41766259381818177,165,0.2241593072796316,-0.336061597,0.697716773
7352,0.4171760673389831,59,0.21962633521685623,-0.119738966,0.811340511
3465,0.41674249312919465,596,0.1985058406533421,-0.681976914,0.802494466
147A,0.41671393169892473,186,0.23282144939570734,-0.664602816,0.827402532
9223,0.41253509426923074,26,0.27227549387263583,-0.323941946,0.792333782
9556,0.4045591864675325,77,0.2302762848878261,-0.448447347,0.831912339
4389,0.40347108325000003,44,0.24932500899795668,-0.281248927,0.812952399
5591,0.40311971310416667,48,0.2511305912790555,-0.561213732,0.687229335
5588,0.4004345151463415,41,0.20996718712232332,-0.200991213,0.742697001
4442,0.3997532435692308,65,0.2305194445225642,-0.278373331,0.631500959
5621,0.39811868165714287,35,0.2639785521025837,-0.332770675,0.811394453
3300,0.3961084369310345,116,0.1980862690597656,-0.184545636,0.844726563
5136,0.396088454,105,0.25228448016428706,-0.36912176,0.817932665
4259,0.39590705669850185,534,0.20371498635473012,-0.649356902,0.820108175
5834,0.3913962949090909,11,0.24660347957821022,0.038952976,0.807025552
4011,0.3909116081928934,197,0.24039888099084145,-0.405498624,0.836876988
4374,0.38861008827142857,210,0.20293210162297862,-0.196334243,0.836322069
5132,0.3877949015217391,46,0.2925976632164469,-0.467854321,0.790260792
3187,0.3867017446879432,141,0.23468168450202131,-0.607256055,0.828979552
3626,0.3859429156278435,1099,0.2172160219432803,-0.524983943,0.80666697
4054,0.3837725257111111,135,0.25736094701333195,-0.616205573,0.764910519
3623,0.38270998063194445,144,0.27607062259180715,-0.457361102,0.734323442
3479,0.38060981592580645,620,0.24936225309865417,-0.692230165,0.7633515
4414,0.37839716916,50,0.21273416520302335,-0.061525077,0.715209186
166A,0.3749701377303371,89,0.26639260985243624,-0.539718688,0.742396474
8424,0.37465573277128955,411,0.2338711069914702,-0.606491685,0.819235802
3231,0.3738321986402337,1198,0.27510037062824877,-0.668958604,0.817662716
8060,0.37348611599087456,1315,0.2286969462053862,-0.728867173,0.799552858
247A,0.3730485036229508,366,0.2142631543222337,-0.634793162,0.790514708
2158,0.3721095697704918,427,0.21598716739498833,-0.653961241,0.717692196
4482,0.3719338827,120,0.23991302870507575,-0.490207374,0.766775489
3773,0.3717715077777778,432,0.2197411147193211,-0.656404555,0.716322482
4015,0.37167966065540536,148,0.27722124206135335,-0.595376134,0.729169846
7119,0.370928333375,152,0.2632061468467364,-0.708198428,0.82274127
3491,0.37074069763976086,669,0.21636803788828687,-0.693874121,0.83298111
7373,0.3699825684714286,140,0.25833128263219757,-0.401381522,0.840867579
7911,0.36784246397022546,2351,0.20796967018340157,-0.700315595,0.830261886
9435,0.366613169880461,3731,0.24651748067656112,-0.689967513,0.830937028
218A,0.365965451372549,102,0.26169153975830495,-0.571186543,0.769163311
2934,0.365563635807971,276,0.27045405557670915,-0.60194546,0.824855268
3542,0.3648229588326848,257,0.24386520564734493,-0.64323771,0.82466352
4074,0.3631276237017544,57,0.2154389342789511,-0.164538682,0.630895734
8593,0.3621742400324401,709,0.24302589538404196,-0.664126515,0.839981139
3063,0.3621346093271605,162,0.2919861728207774,-0.665391922,0.740313053
1431,0.36156465547560973,246,0.21877744291967471,-0.419947445,0.834758639
9433,0.36149916265673276,7315,0.230551086333894,-0.709527314,0.828037858
4418,0.3614393714347826,69,0.25407562629579605,-0.570529103,0.662038267
4192,0.36059709838275866,290,0.23325833027928372,-0.615052342,0.793494105
7912,0.3595436393460375,3306,0.19596443674260602,-0.730547547,0.827359617
5248,0.3590180231937595,1987,0.23892686595834378,-0.719308078,0.814883649
5027,0.35744366773397435,312,0.21397256420948865,-0.616705775,0.84344995
7685,0.35702775058823527,272,0.2273715074157775,-0.549069405,0.756552339
7066,0.3563331501515151,66,0.24926474535675955,-0.535192847,0.737352729
4812,0.35631608780263163,760,0.21395499127664652,-0.363872945,0.804509521
176A,0.35342049749180326,61,0.31152826321757593,-0.585309684,0.798561215
1951,0.351022365302521,238,0.26033659162274514,-0.526097536,0.828702211
7110,0.3480109390060606,165,0.2458751656967858,-0.353093505,0.835250139
4264,0.34454832860732987,1528,0.22580818840767092,-0.580731034,0.81458801
9449,0.34432262693344706,1758,0.2361561280508952,-0.694287896,0.815111339
9272,0.3440560583204633,259,0.24351978735623508,-0.627666712,0.751513004
4376,0.343322843210084,357,0.25800979680539554,-0.589327574,0.796074152
9432,0.3419372110608982,8506,0.23922845006010537,-0.708182812,0.841545463
7326,0.34102204427941174,204,0.23281832378003445,-0.743490756,0.837902546
5038,0.34008755993150686,73,0.274230345411868,-0.57760942,0.815778255
