code,Sector,Industry,MarketCap
7951,Consumer Cyclical,Leisure,519309557760
7974,Communication Services,Electronic Gaming & Multimedia,11584378241024
7988,Consumer Cyclical,Auto Parts,468535148544
7994,Industrials,Business Equipment & Supplies,226371747840
8001,Industrials,Conglomerates,14376330330112
8002,Industrials,Conglomerates,8128467304448
8015,Industrials,Conglomerates,6188962414592
8020,Industrials,Conglomerates,319177555968
8031,Industrials,Conglomerates,14282909548544
8035,Technology,Semiconductor Equipment & Materials,18808265768960
8053,Industrials,Conglomerates,7131630665728
8056,Technology,Information Technology Services,535658692608
8058,Industrials,Conglomerates,14808514560000
8060,Industrials,Business Equipment & Supplies,751546925056
8078,Industrials,Conglomerates,302951333888
8088,Industrials,Conglomerates,419500883968
8098,Basic Materials,Specialty Chemicals,207658352640
8111,Consumer Cyclical,Apparel Manufacturing,356344102912
8113,Consumer Defensive,Household & Personal Products,1556371603456
8130,Consumer Cyclical,"Furnishings, Fixtures & Appliances",185713229824
8133,Energy,Oil & Gas Refining & Marketing,221989044224
8136,Consumer Cyclical,Specialty Retail,1221047615488
8154,Technology,Electronic Components,188015493120
8174,Utilities,Utilities - Regulated Gas,316594520064
8194,Consumer Defensive,Grocery Stores,219409104896
8227,Consumer Cyclical,Apparel Retail,774765150208
8233,Consumer Cyclical,Department Stores,561269112832
8252,Financial Services,Credit Services,576214663168
8253,Financial Services,Credit Services,625538695168
8267,Consumer Cyclical,Department Stores,6062055882752
8279,Consumer Defensive,Grocery Stores,0
8304,Financial Services,Banks - Regional,364980240384
8306,Financial Services,Banks - Diversified,31539184271360
8308,Financial Services,Banks - Regional,3802520092672
8309,Financial Services,Banks - Regional,3523567681536
8316,Financial Services,Banks - Diversified,20798832115712
8331,Financial Services,Banks - Regional,1352079114240
8354,Financial Services,Banks - Regional,1031182745600
8410,Financial Services,Banks - Regional,360754479104
8411,Financial Services,Banks - Regional,16127804571648
8424,Industrials,Rental & Leasing Services,399162933248
8425,Financial Services,Credit Services,408792563712
8439,Industrials,Rental & Leasing Services,1032020885504
8473,Financial Services,Financial Conglomerates,2404783751168
8515,Financial Services,Credit Services,266801020928
8572,Financial Services,Credit Services,808842756096
8584,Financial Services,Credit Services,195603202048
8591,Financial Services,Financial Conglomerates,5282895757312
8593,Financial Services,Credit Services,1973235875840
8601,Financial Services,Capital Markets,2110073602048
8604,Financial Services,Capital Markets,4330920083456
8630,Financial Services,Insurance - Property & Casualty,5175448698880
8697,Financial Services,Financial Data & Stock Exchanges,1818372603904
8725,Financial Services,Insurance - Property & Casualty,5804797198336
8750,Financial Services,Insurance - Life,5021092020224
8766,Financial Services,Insurance - Property & Casualty,11487239208960
8795,Financial Services,Insurance - Life,1913734823936
8801,Real Estate,Real Estate - Diversified,5157692637184
8802,Real Estate,Real Estate - Diversified,4995843358720
8804,Real Estate,Real Estate Services,769616773120
8830,Real Estate,Real Estate Services,3950635909120
8848,Real Estate,Real Estate Services,215720804352
8850,Real Estate,Real Estate - Diversified,234116284416
8876,Industrials,Specialty Business Services,265048473600
8919,Consumer Cyclical,Residential Construction,251526201344
8923,Real Estate,Real Estate - Diversified,175999827968
9001,Industrials,Railroads,530284052480
