code,Sector,Industry,MarketCap
4911,Consumer Defensive,Household & Personal Products,986026999808
4912,Consumer Defensive,Household & Personal Products,457998991360
4967,Consumer Defensive,Household & Personal Products,403882803200
4978,Healthcare,Biotechnology,15055015936
4980,Technology,Electronic Components,455440760832
5019,Energy,Oil & Gas Refining & Marketing,1519773679616
5020,Energy,Oil & Gas Refining & Marketing,3261526704128
5021,Energy,Oil & Gas Integrated,724091469824
5026,Technology,Information Technology Services,6173641728
5027,Technology,Software - Application,35686182912
5032,Communication Services,Entertainment,274708561920
5034,Communication Services,Internet Content & Information,10333603840
5038,Healthcare,Health Information Services,43750473728
5076,Industrials,Engineering & Construction,572373663744
5101,Consumer Cyclical,Auto Parts,1008674078720
5105,Consumer Cyclical,Auto Parts,680513568768
5108,Consumer Cyclical,Auto Parts,4462359347200
5129,Technology,Software - Infrastructure,5480706560
5132,Technology,Software - Infrastructure,22023620608
5136,Technology,Software - Application,11193507840
5137,Technology,Software - Infrastructure,13948798976
5139,Technology,Software - Application,22622353408
5201,Industrials,Conglomerates,1135036203008
5214,Technology,Electronic Components,470176890880
5233,Basic Materials,Building Materials,462875394048
5243,Technology,Software - Application,33898455040
5244,Technology,Software - Application,9382162432
5246,Technology,Software - Application,16633049088
5248,Technology,Software - Application,8951625728
5253,Technology,Software - Application,120139530240
5254,Technology,Software - Application,22717003776
5258,Technology,Software - Infrastructure,14093202432
5301,Basic Materials,Specialty Chemicals,215535239168
5332,Industrials,Building Products & Equipment,745776218112
5333,Industrials,Specialty Industrial Machinery,1046912958464
5334,Consumer Cyclical,Auto Parts,1352328282112
5344,Technology,Electronic Components,565114109952
5393,Industrials,Conglomerates,469746417664
5401,Basic Materials,Steel,3446777577472
5406,Basic Materials,Steel,869320753152
5411,Basic Materials,Steel,1331465289728
5423,Basic Materials,Steel,161777106944
5444,Basic Materials,Steel,692001636352
5471,Basic Materials,Steel,395710824448
5480,Basic Materials,Steel,68300529664
5570,Communication Services,Internet Content & Information,9407951872
5572,Technology,Software - Infrastructure,9601738752
5574,Technology,Software - Infrastructure,27745718272
5582,Technology,Software - Infrastructure,12610507776
5586,Technology,Software - Infrastructure,14603343872
5588,Technology,Software - Infrastructure,11723371520
5590,Technology,Software - Infrastructure,16974015488
5591,Technology,Software - Infrastructure,8080212992
5592,Healthcare,Health Information Services,32018946048
5595,Industrials,Aerospace & Defense,83138772992
5621,Technology,Software - Infrastructure,18102368256
5631,Industrials,Specialty Industrial Machinery,654989721600
5706,Industrials,Conglomerates,1161137094656
5711,Basic Materials,Other Industrial Metals & Mining,549515132928
5713,Basic Materials,Other Industrial Metals & Mining,2031848652800
5714,Basic Materials,Other Industrial Metals & Mining,516769153024
5801,Industrials,Electrical Equipment & Parts,700949397504
5802,Consumer Cyclical,Auto Parts,5053103996928
5803,Industrials,Conglomerates,4736358547456
5805,Industrials,Electrical Equipment & Parts,330120167424
5831,Financial Services,Banks - Regional,1397118468096
5834,Industrials,Rental & Leasing Services,47207526400
5842,Financial Services,Asset Management,119708008448
5857,Industrials,Waste Management,267052761088
5888,Consumer Cyclical,Recreational Vehicles,9677770752
5892,Consumer Cyclical,Apparel Manufacturing,14647227392
5929,Industrials,Building Products & Equipment,892453912576
5947,Consumer Cyclical,"Furnishings, Fixtures & Appliances",560453189632
5991,Consumer Cyclical,Auto Parts,535557144576
6005,Industrials,Specialty Industrial Machinery,368659693568
6026,Communication Services,Advertising Agencies,0
6027,Industrials,Consulting Services,73371975680
6028,Industrials,Staffing & Employment Services,505322405888
6030,Consumer Cyclical,Travel Services,12845739008
6031,Technology,Software - Infrastructure,6129522176
6040,Consumer Cyclical,Resorts & Casinos,22770579456
6069,Communication Services,Advertising Agencies,8000147456
6086,Industrials,Specialty Business Services,22534428672
6094,Communication Services,Advertising Agencies,9539704832
6098,Communication Services,Internet Content & Information,12951183425536
6101,Industrials,Tools & Accessories,142612381696
6103,Industrials,Specialty Industrial Machinery,232974532608
6113,Industrials,Specialty Industrial Machinery,606706008064
6141,Industrials,Tools & Accessories,404536852480
6146,Technology,Semiconductor Equipment & Materials,6227166756864
6176,Communication Services,Publishing,9751277568
6178,Financial Services,Banks - Regional,5122060976128
6182,Technology,Information Technology Services,5204258304
6201,Industrials,Farm & Heavy Construction Machinery,5468624257024
6224,Industrials,Specialty Industrial Machinery,18038990848
6232,Technology,Computer Hardware,20220579840
6254,Industrials,Specialty Industrial Machinery,117627625472
6255,Industrials,Specialty Industrial Machinery,14227779584
6269,Energy,Oil & Gas Equipment & Services,1008024944640
6273,Industrials,Specialty Industrial Machinery,3890977964032
6301,Industrials,Farm & Heavy Construction Machinery,4765838737408
6302,Industrials,Specialty Industrial Machinery,541786832896
6305,Industrials,Farm & Heavy Construction Machinery,1097508978688
6323,Technology,Semiconductor Equipment & Materials,498613354496
6326,Industrials,Farm & Heavy Construction Machinery,2691431923712
6361,Industrials,Specialty Industrial Machinery,2098481070080
6367,Industrials,Building Products & Equipment,5784833359872
6368,Industrials,Pollution & Treatment Controls,668126478336
6383,Industrials,Specialty Industrial Machinery,1959844773888
6417,Consumer Cyclical,Gambling,502890364928
6432,Industrials,Farm & Heavy Construction Machinery,334437744640
6436,Technology,Scientific & Technical Instruments,301819592704
6448,Industrials,Business Equipment & Supplies,804054171648
6460,Communication Services,Electronic Gaming & Multimedia,517888737280
6465,Industrials,Specialty Industrial Machinery,761931497472
6471,Consumer Cyclical,Auto Parts,529447485440
6472,Industrials,Tools & Accessories,196950720512
6473,Consumer Cyclical,Auto Parts,595600474112
6479,Technology,Electronic Components,1234907955200
6501,Industrials,Conglomerates,24090702249984
6503,Industrials,Electrical Equipment & Parts,10307458039808
6504,Industrials,Electrical Equipment & Parts,1842483167232
6506,Industrials,Electrical Equipment & Parts,1276242952192
6521,Technology,Electronic Components,19516631040
6526,Industrials,Electrical Equipment & Parts,410159251456
6532,Industrials,Consulting Services,1036914393088
6544,Industrials,Specialty Business Services,314549895168
