Code,データ有無,データ開始日,データ終了日,レコード数,営業日カバレッジ (%),欠損項目
5713,有り,2018-05-30,2025-09-26,1796,93.88,無し
3092,有り,2018-05-30,2025-09-26,1796,93.88,無し
8267,有り,2018-05-30,2025-09-26,1796,93.88,無し
9021,有り,2018-05-30,2025-09-26,1796,93.88,無し
6326,有り,2018-05-30,2025-09-26,1796,93.88,無し
215A,有り,2025-01-06,2025-09-26,179,94.21,無し
2802,有り,2018-05-30,2025-09-26,1796,93.88,無し
6645,有り,2018-05-30,2025-09-26,1796,93.88,無し
6532,有り,2018-05-30,2025-09-26,1796,93.88,無し
3659,有り,2018-05-30,2025-09-26,1796,93.88,無し
4578,有り,2018-05-30,2025-09-26,1796,93.88,無し
4751,有り,2018-05-30,2025-09-26,1796,93.88,無し
7936,有り,2018-05-30,2025-09-26,1796,93.88,無し
6988,有り,2018-05-30,2025-09-26,1796,93.88,無し
5801,有り,2018-05-30,2025-09-26,1796,93.88,無し
7309,有り,2018-05-30,2025-09-26,1796,93.88,無し
8113,有り,2018-05-30,2025-09-26,1796,93.88,無し
7261,有り,2018-05-30,2025-09-26,1796,93.88,無し
3697,有り,2018-05-30,2025-09-26,1796,93.88,無し
1925,有り,2018-05-30,2025-09-26,1796,93.88,無し
8309,有り,2018-05-30,2025-09-26,1796,93.88,無し
2503,有り,2018-05-30,2025-09-26,1796,93.88,無し
4004,有り,2018-05-30,2025-09-26,1796,93.88,無し
8473,有り,2018-05-30,2025-09-26,1796,93.88,無し
1928,有り,2018-05-30,2025-09-26,1796,93.88,無し
8830,有り,2018-05-30,2025-09-26,1796,93.88,無し
4307,有り,2018-05-30,2025-09-26,1796,93.88,無し
9735,有り,2018-05-30,2025-09-26,1796,93.88,無し
5032,有り,2022-11-15,2025-09-26,703,93.86,無し
2432,有り,2018-05-30,2025-09-26,1796,93.88,無し
7532,有り,2018-05-30,2025-09-26,1796,93.88,無し
6383,有り,2018-05-30,2025-09-26,1796,93.88,無し
6201,有り,2018-05-30,2025-09-26,1796,93.88,無し
3038,有り,2018-05-30,2025-09-26,1796,93.88,無し
7211,有り,2018-05-30,2025-09-26,1796,93.88,無し
9503,有り,2018-05-30,2025-09-26,1796,93.88,無し
5406,有り,2018-05-30,2025-09-26,1796,93.88,無し
7272,有り,2018-05-30,2025-09-26,1796,93.88,無し
5802,有り,2018-05-30,2025-09-26,1796,93.88,無し
6869,有り,2018-05-30,2025-09-26,1796,93.88,無し
4704,有り,2018-05-30,2025-09-26,1796,93.88,無し
3563,有り,2018-05-30,2025-09-26,1796,93.88,無し
9766,有り,2018-05-30,2025-09-26,1796,93.88,無し
4188,有り,2018-05-30,2025-09-26,1796,93.88,無し
3402,有り,2018-05-30,2025-09-26,1796,93.88,無し
9697,有り,2018-05-30,2025-09-26,1796,93.88,無し
9684,有り,2018-05-30,2025-09-26,1796,93.88,無し
8795,有り,2018-05-30,2025-09-26,1796,93.88,無し
9531,有り,2018-05-30,2025-09-26,1796,93.88,無し
141A,有り,2024-08-26,2025-09-26,266,93.33,無し
3064,有り,2018-05-30,2025-09-26,1796,93.88,無し
7014,有り,2018-05-30,2025-09-26,1796,93.88,無し
4005,有り,2018-05-30,2025-09-26,1796,93.88,無し
5201,有り,2018-05-30,2025-09-26,1796,93.88,無し
3407,有り,2018-05-30,2025-09-26,1796,93.88,無し
4324,有り,2018-05-30,2025-09-26,1796,93.88,無し
2801,有り,2018-05-30,2025-09-26,1796,93.88,無し
2267,有り,2018-05-30,2025-09-26,1796,93.88,無し
4528,有り,2018-05-30,2025-09-26,1796,93.88,無し
6479,有り,2018-05-30,2025-09-26,1796,93.88,無し
3099,有り,2018-05-30,2025-09-26,1796,93.88,無し
8015,有り,2018-05-30,2025-09-26,1796,93.88,無し
5301,有り,2018-05-30,2025-09-26,1796,93.88,無し
5019,有り,2018-05-30,2025-09-26,1796,93.88,無し
247A,有り,2025-03-10,2025-09-26,137,94.48,無し
4684,有り,2018-05-30,2025-09-26,1796,93.88,無し
6504,有り,2018-05-30,2025-09-26,1796,93.88,無し
7202,有り,2018-05-30,2025-09-26,1796,93.88,無し
1878,有り,2018-05-30,2025-09-26,1796,93.88,無し
4477,有り,2020-04-06,2025-09-26,1340,93.71,無し
1801,有り,2018-05-30,2025-09-26,1796,93.88,無し
8601,有り,2018-05-30,2025-09-26,1796,93.88,無し
8697,有り,2018-05-30,2025-09-26,1796,93.88,無し
7259,有り,2018-05-30,2025-09-26,1796,93.88,無し
4612,有り,2018-05-30,2025-09-26,1796,93.88,無し
3769,有り,2018-05-30,2025-09-26,1796,93.88,無し
218A,有り,2025-01-07,2025-09-26,178,94.18,無し
4563,有り,2018-05-30,2025-09-26,1796,93.88,無し
9064,有り,2018-05-30,2025-09-26,1796,93.88,無し
2269,有り,2018-05-30,2025-09-26,1796,93.88,無し
6753,有り,2018-05-30,2025-09-26,1796,93.88,無し
6586,有り,2018-05-30,2025-09-26,1796,93.88,無し
1911,有り,2018-05-30,2025-09-26,1796,93.88,無し
2768,有り,2018-05-30,2025-09-26,1796,93.88,無し
2127,有り,2018-05-30,2025-09-26,1796,93.88,無し
9166,有り,2024-01-05,2025-09-26,423,93.79,無し
6361,有り,2018-05-30,2025-09-26,1796,93.88,無し
9502,有り,2018-05-30,2025-09-26,1796,93.88,無し
1812,有り,2018-05-30,2025-09-26,1796,93.88,無し
7752,有り,2018-05-30,2025-09-26,1796,93.88,無し
6254,有り,2018-05-30,2025-09-26,1796,93.88,無し
9147,有り,2022-06-14,2025-09-26,807,93.95,無し
4592,有り,2018-05-30,2025-09-26,1796,93.88,無し
1802,有り,2018-05-30,2025-09-26,1796,93.88,無し
6323,有り,2018-05-30,2025-09-26,1796,93.88,無し
