Code,filerName,TotalFiles,FirstSubmission,LastSubmission,その他,2018,2019,2020,2021,2022,2023,2024,2025,2026
198A,ＰｏｓｔＰｒｉｍｅ株式会社,4,2024-08-28 10:22:00,2026-01-14 15:33:00,4,0,0,0,0,0,0,1,2,1
2002,株式会社日清製粉グループ本社,32,2018-01-23 14:20:00,2025-11-10 11:04:00,32,5,4,5,4,4,4,4,2,0
202A,株式会社豆蔵デジタルホールディングス,4,2024-06-28 15:24:00,2025-11-14 15:33:00,4,0,0,0,0,0,0,2,2,0
205A,株式会社ロゴスホールディングス,4,2024-08-30 11:39:00,2026-01-14 15:38:00,4,0,0,0,0,0,0,1,2,1
206A,株式会社ＰＲＩＳＭ　ＢｉｏＬａｂ,3,2024-12-27 15:32:00,2025-12-24 15:30:00,3,0,0,0,0,0,0,1,2,0
2124,株式会社ジェイエイシーリクルートメント,29,2018-03-23 15:02:00,2025-08-12 15:37:00,29,4,4,4,4,4,4,3,2,0
2127,株式会社日本Ｍ＆Ａセンター,10,2018-06-26 15:31:00,2021-08-12 13:21:00,10,1,2,4,3,0,0,0,0,0
2127,株式会社日本Ｍ＆Ａセンターホールディングス,27,2018-02-09 15:16:00,2025-11-12 13:20:00,27,3,4,0,1,10,4,3,2,0
2154,株式会社オープンアップグループ,15,2018-02-13 10:58:00,2025-09-22 15:30:00,15,3,3,0,0,0,4,3,2,0
2154,株式会社トラスト・テック,2,2018-09-25 14:41:00,2019-09-30 16:08:00,2,1,1,0,0,0,0,0,0,0
2154,株式会社ビーネックスグループ,5,2020-02-14 15:04:00,2021-02-12 15:00:00,5,0,0,4,1,0,0,0,0,0
2154,株式会社夢真ビーネックスグループ,8,2021-05-14 16:00:00,2022-11-07 15:00:00,8,0,0,0,3,5,0,0,0,0
2158,株式会社ＦＲＯＮＴＥＯ,34,2018-02-14 16:00:00,2025-11-14 16:00:00,34,6,4,4,5,4,4,5,2,0
215A,株式会社タイミー,2,2025-01-29 15:30:00,2025-06-12 15:30:00,2,0,0,0,0,0,0,0,2,0
2160,株式会社ジーエヌアイグループ,39,2018-03-30 15:22:00,2025-08-14 16:30:00,39,4,12,5,4,5,4,3,2,0
2168,株式会社パソナグループ,32,2018-01-12 17:10:00,2026-01-14 15:30:00,32,4,4,4,4,6,4,3,2,1
2173,株式会社博展,31,2018-02-09 09:06:00,2025-08-07 11:30:00,31,4,4,4,5,4,5,3,2,0
2181,パーソルホールディングス株式会社,34,2018-02-14 15:37:00,2025-11-11 15:30:00,34,4,4,4,4,4,4,7,3,0
218A,株式会社Ｌｉｂｅｒａｗａｒｅ,3,2024-10-31 13:21:00,2025-10-31 15:35:00,3,0,0,0,0,0,0,1,2,0
2195,アミタホールディングス株式会社,29,2018-03-28 15:30:00,2025-08-13 15:30:00,29,4,4,4,4,4,4,3,2,0
219A,Ｈｅａｒｔｓｅｅｄ株式会社,2,2025-01-27 10:00:00,2025-06-12 15:30:00,2,0,0,0,0,0,0,0,2,0
2201,森永製菓株式会社,29,2018-02-13 09:51:00,2025-11-13 10:11:00,29,4,4,4,4,4,4,3,2,0
2222,寿スピリッツ株式会社,29,2018-02-13 09:04:00,2025-11-14 09:06:00,29,4,4,4,4,4,4,3,2,0
2229,カルビー株式会社,31,2018-02-09 15:20:00,2025-11-10 15:35:00,31,5,4,4,4,4,5,3,2,0
2264,森永乳業株式会社,32,2018-02-08 09:34:00,2025-11-12 09:18:00,32,4,4,4,4,4,4,3,5,0
2267,株式会社ヤクルト本社,29,2018-02-13 10:22:00,2025-11-14 14:54:00,29,4,4,4,4,4,4,3,2,0
2269,明治ホールディングス株式会社,39,2018-02-09 10:44:00,2025-11-13 15:46:00,39,5,6,5,5,8,4,4,2,0
2282,日本ハム株式会社,31,2018-02-06 14:02:00,2025-11-10 15:24:00,31,4,4,5,4,5,4,3,2,0
228A,株式会社オプロ,3,2025-02-28 10:21:00,2025-07-10 15:31:00,3,0,0,0,0,0,0,0,3,0
2317,株式会社システナ,29,2018-02-06 09:15:00,2025-11-11 09:46:00,29,4,4,4,4,4,4,3,2,0
2327,日鉄ソリューションズ株式会社,41,2018-02-09 11:03:00,2025-11-07 11:04:00,41,4,4,16,4,4,4,3,2,0
2370,株式会社メディネット,29,2018-02-14 15:10:00,2025-12-17 15:32:00,29,4,4,4,4,4,4,3,2,0
2371,株式会社カカクコム,31,2018-02-09 11:05:00,2025-11-07 11:56:00,31,5,4,4,4,4,5,3,2,0
2379,ディップ株式会社,30,2018-01-12 14:09:00,2025-10-14 15:39:00,30,4,4,4,4,4,4,4,2,0
2384,ＳＢＳホールディングス株式会社,29,2018-03-27 15:01:00,2025-08-08 15:31:00,29,4,4,4,4,4,4,3,2,0
2413,エムスリー株式会社,30,2018-02-09 09:57:00,2025-11-14 15:30:00,30,5,4,4,4,4,4,3,2,0
241A,株式会社ＲＯＸＸ,5,2024-12-19 09:00:00,2025-12-25 16:57:00,5,0,0,0,0,0,0,1,4,0
2432,株式会社ディー・エヌ・エー,31,2018-02-09 10:08:00,2025-11-10 15:52:00,31,4,4,4,4,5,4,4,2,0
2438,株式会社アスカネット,30,2018-03-14 09:02:00,2025-12-12 09:09:00,30,4,4,4,4,5,4,3,2,0
244A,グロースエクスパートナーズ株式会社,3,2024-11-29 15:30:00,2025-11-26 15:00:00,3,0,0,0,0,0,0,1,2,0
245A,株式会社ＩＮＧＳ,3,2024-11-29 17:13:00,2025-11-27 15:00:00,3,0,0,0,0,0,0,1,2,0
246A,株式会社アスア,3,2024-09-30 15:24:00,2025-09-26 16:00:00,3,0,0,0,0,0,0,1,2,0
247A,Ａｉロボティクス株式会社,3,2024-11-14 11:05:00,2025-11-14 16:30:00,3,0,0,0,0,0,0,1,2,0
248A,株式会社キッズスター,2,2025-03-27 15:00:00,2025-08-14 15:30:00,2,0,0,0,0,0,0,0,2,0
2497,ユナイテッド株式会社,31,2018-01-31 15:35:00,2025-11-06 15:30:00,31,4,4,5,4,5,4,3,2,0
2501,サッポロホールディングス株式会社,29,2018-03-30 09:30:00,2025-08-08 13:41:00,29,4,4,4,4,4,4,3,2,0
2502,アサヒグループホールディングス株式会社,30,2018-03-28 11:28:00,2025-08-07 11:30:00,30,4,4,4,4,5,4,3,2,0
2503,キリンホールディングス株式会社,30,2018-03-29 15:12:00,2025-08-08 15:04:00,30,5,4,4,4,4,4,3,2,0
2531,宝ホールディングス株式会社,30,2018-02-09 09:08:00,2025-11-12 09:26:00,30,4,4,4,4,4,5,3,2,0
2587,サントリー食品インターナショナル株式会社,33,2018-03-30 11:12:00,2025-08-08 11:19:00,33,4,4,4,6,4,4,4,3,0
