DocID,FinBERT_Score,TextLength
S100C09O,0.2398509763438126,17008
S100C0QT,0.19570888672024012,15098
S100C1A0,0.25918950917674044,29993
S100C1EF,0.20642543143343808,23614
S100C1Q9,0.24912001447092672,18853
S100C2U1,0.25343499604511904,8512
S100C2V7,0.20073506854397735,11169
S100C2V9,0.27667871238829117,20031
S100C2Z3,0.2782802159500706,16411
S100C31U,0.2616057685780816,14029
S100C32T,0.20269636694771512,151187
S100C333,0.1562918066207705,13680
S100C34U,0.2521475086514459,24536
S100C39D,0.1828183787794127,19697
S100C39X,0.2727239246001351,20748
S100C3CH,0.28478962632718385,13036
S100C3G8,0.16752930033982286,14065
S100C3ND,0.22779636410525952,23607
S100C3OJ,0.25393127905933754,12998
S100C3P1,0.21578911323255548,10856
S100C3R0,0.1663489341099038,13615
S100C3S2,0.2990778834912284,10160
S100C3VP,0.16961622510605784,15532
S100C3WU,0.3325032156998994,13830
S100C3ZH,0.29490153960338455,24167
S100C404,0.2646966921392737,9783
S100C41I,0.17621168303221404,60921
S100C441,0.22464279436639378,12067
S100C44A,0.19889027676266482,13215
S100C44P,0.3414349747758548,26601
S100C461,0.24649747235652728,22119
S100C46K,0.3498599268854238,12125
S100C47Y,0.15941599523027739,17070
S100C48N,0.15929552236640895,15461
S100C4C1,0.273602507970075,11281
S100C4F7,0.29341138182308085,10483
S100C4IW,0.276797402177898,8056
S100C5RP,0.1168671067416707,171946
S100C5V4,0.26255097682488726,28378
S100C62K,0.21517632431105563,10871
S100C62N,0.149369945355894,106322
S100C6BN,0.2585558374907742,10914
S100C6H2,0.26555537267879475,18638
S100C6I7,0.2742673190142719,27979
S100C6NN,0.18157342574793658,16137
S100C6UQ,0.2679932032386924,24301
S100C6V5,0.22736627777463736,86465
S100C731,0.3102327103614807,14184
S100C763,0.29124006228608507,26238
S100C76D,0.25038199592381716,24337
S100C79J,0.24923840537667274,15427
S100C7A8,0.2644729580448455,13826
S100C7AT,0.1708783653768945,21269
S100C7D1,0.17281443822010548,160166
S100C7D6,0.2919969719895466,22575
S100C7DD,0.16743893205429097,167039
S100C7F7,0.2831680135995284,26270
S100C7FO,0.22405835066909913,17572
S100C7HH,0.23737312579920533,12778
S100C7II,0.14262349366082466,119165
S100C7J0,0.2088100702698487,29865
S100C7J9,0.24889196427976526,17327
S100C7K5,0.20333974276489192,27414
S100C7KF,0.3416821270600542,18208
S100C7MB,0.2791432118429257,12985
S100C7N0,0.19537513915981566,20824
S100C7O0,0.2991217706020516,11615
S100C7PA,0.20623803543073407,51642
S100C7SG,0.22098679373324928,13780
S100C7SH,0.21088145655948062,14946
S100C7SU,0.1672478367217339,31660
S100C7TZ,0.3130688074297621,33238
S100C7W9,0.27488245355756313,8431
S100C7XJ,0.24830783948629767,21714
S100C7Y5,0.26318274433097094,16567
S100C7ZP,0.23813502271692236,16648
S100C7ZR,0.23249217490851878,29387
S100C81X,0.2362472795135116,18726
S100C83W,0.28990893929669287,13087
S100C841,0.3174409332468097,15306
S100C84L,0.2584115469240044,17312
S100C84V,0.26678109751142504,46361
S100C84W,0.30509967620416384,14169
S100C86U,0.27198740077811645,12774
S100C87V,0.22611263216396046,17996
S100C88O,0.3604841877206944,33530
S100C88S,0.2342425424191687,15382
S100C893,0.2145497211001136,19188
S100C895,0.13336308627524449,42978
S100C8AO,0.18878929535376615,16725
S100C8AX,0.23020652476194742,20806
