code,name,is_nikkei_225,is_topix_core30,is_topix_100,is_jpx_nikkei_400,is_growth_core,is_growth_250
3088,マツキヨココカラ＆カンパニー,0,0,0,1,0,0
3092,ＺＯＺＯ,1,0,0,1,0,0
3099,三越伊勢丹,1,0,0,0,0,0
3107,ダイワボウホールディングス,0,0,0,1,0,0
3116,トヨタ紡織,0,0,0,1,0,0
3132,マクニカホールディングス,0,0,0,1,0,0
3133,海帆,0,0,0,0,0,1
3140,ＢＲＵＮＯ,0,0,0,0,0,1
3141,ウエルシアホールディングス,0,0,0,1,0,0
3148,クリエイトＳＤホールディングス,0,0,0,1,0,0
3186,ネクステージ,0,0,0,1,0,0
3187,ミラタップ,0,0,0,0,0,1
3231,野村不動産ホールディングス,0,0,0,1,0,0
3288,オープンハウスグループ,0,0,0,1,0,0
3289,東急不ＨＤ,1,0,0,1,0,0
3291,飯田グループホールディングス,0,0,0,1,0,0
3300,アンビション　ＤＸ　ホールディングス,0,0,0,0,0,1
3349,コスモス薬品,0,0,0,1,0,0
3360,シップヘルスケアホールディングス,0,0,0,1,0,0
3382,セブン＆アイ,1,1,1,1,0,0
3391,ツルハホールディングス,0,0,0,1,0,0
3401,帝人,1,0,0,0,0,0
3402,東レ,1,0,0,1,0,0
3405,クラレ,1,0,0,1,0,0
3407,旭化成,1,0,1,0,0,0
3418,バルニバービ,0,0,0,0,0,1
3436,ＳＵＭＣＯ,1,0,0,1,0,0
3465,ケイアイスター不動産,0,0,0,1,0,0
3479,ティーケーピー,0,0,0,0,1,1
3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,0,0,0,0,0,1
3496,アズーム,0,0,0,0,0,1
3542,ベガコーポレーション,0,0,0,0,0,1
3549,クスリのアオキホールディングス,0,0,0,1,0,0
3558,ジェイドグループ,0,0,0,0,0,1
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,0,0,0,1,0,0
3623,ビリングシステム,0,0,0,0,0,1
3626,ＴＩＳ,0,0,0,1,0,0
3635,コーエーテクモホールディングス,0,0,0,1,0,0
3653,モルフォ,0,0,0,0,0,1
3659,ネクソン,1,0,0,1,0,0
3692,ＦＦＲＩセキュリティ,0,0,0,0,0,1
3697,ＳＨＩＦＴ,0,0,0,1,0,0
3723,日本ファルコム,0,0,0,0,0,1
3765,ガンホー・オンライン・エンターテイメント,0,0,0,1,0,0
3769,ＧＭＯペイメントゲートウェイ,0,0,0,1,0,0
3773,アドバンスト・メディア,0,0,0,0,0,1
3774,インターネットイニシアティブ,0,0,0,1,0,0
3777,環境フレンドリーホールディングス,0,0,0,0,0,1
3793,ドリコム,0,0,0,0,0,1
3861,王子ＨＤ,1,0,0,1,0,0
3900,クラウドワークス,0,0,0,0,0,1
3904,カヤック,0,0,0,0,0,1
3905,データセクション,0,0,0,0,0,1
3911,Ａｉｍｉｎｇ,0,0,0,0,0,1
3914,ＪＩＧ－ＳＡＷ,0,0,0,0,0,1
3923,ラクス,0,0,0,1,0,0
3979,うるる,0,0,0,0,0,1
3989,シェアリングテクノロジー,0,0,0,0,0,1
3990,ＵＵＵＭ,0,0,0,0,0,1
3991,ウォンテッドリー,0,0,0,0,0,1
4004,レゾナック,1,0,0,1,0,0
4005,住友化,1,0,0,0,0,0
4011,ヘッドウォータース,0,0,0,0,0,1
4013,勤次郎,0,0,0,0,0,1
4015,ペイクラウドホールディングス,0,0,0,0,0,1
4021,日産化,1,0,0,1,0,0
4042,東ソー,1,0,0,1,0,0
4043,トクヤマ,1,0,0,0,0,0
4051,ＧＭＯフィナンシャルゲート,0,0,0,0,1,1
4054,日本情報クリエイト,0,0,0,0,0,1
4055,ティアンドエスグループ,0,0,0,0,0,1
4056,ニューラルグループ,0,0,0,0,0,1
4058,トヨクモ,0,0,0,0,0,1
4061,デンカ,1,0,0,0,0,0
4062,イビデン,0,0,0,1,0,0
4063,信越化,1,1,1,1,0,0
4074,ラキール,0,0,0,0,0,1
4088,エア・ウォーター,0,0,0,1,0,0
4091,日本酸素ホールディングス,0,0,0,1,0,0
4151,協和キリン,1,0,0,1,0,0
4165,プレイド,0,0,0,0,0,1
4168,ヤプリ,0,0,0,0,0,1
4169,ＥＮＥＣＨＡＮＧＥ,0,0,0,0,0,1
4175,ｃｏｌｙ,0,0,0,0,0,1
4176,ココナラ,0,0,0,0,0,1
4182,三菱瓦斯化学,0,0,0,1,0,0
4183,三井化学,1,0,0,1,0,0
4186,東京応化工業,0,0,0,1,0,0
4188,三菱ケミＧ,1,0,1,1,0,0
4192,スパイダープラス,0,0,0,0,0,1
4194,ビジョナル,0,0,0,1,0,0
4202,ダイセル,0,0,0,1,0,0
4203,住友ベークライト,0,0,0,1,0,0
4204,積水化学工業,0,0,0,1,0,0
4208,ＵＢＥ,1,0,0,0,0,0
4258,網屋,0,0,0,0,0,1
4259,エクサウィザーズ,0,0,0,0,0,1
4263,サスメド,0,0,0,0,0,1
4264,セキュア,0,0,0,0,0,1
4270,ＢｅｅＸ,0,0,0,0,0,1
4307,野村総研,1,0,0,1,0,0
4308,Ｊストリーム,0,0,0,0,0,1
4324,電通グループ,1,0,0,0,0,0
4371,コアコンセプト・テクノロジー,0,0,0,0,0,1
4374,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,0,0,0,0,0,1
4375,セーフィー,0,0,0,0,1,1
4376,くふうカンパニー,0,0,0,0,0,1
4377,ワンキャリア,0,0,0,0,0,1
4385,メルカリ,1,0,0,1,0,0
4389,プロパティデータバンク,0,0,0,0,0,1
4393,バンク・オブ・イノベーション,0,0,0,0,0,1
4401,ＡＤＥＫＡ,0,0,0,1,0,0
4403,日油,0,0,0,1,0,0
4413,ボードルア,0,0,0,0,0,1
4414,フレクト,0,0,0,0,0,1
4417,グローバルセキュリティエキスパート,0,0,0,0,0,1
4418,ＪＤＳＣ,0,0,0,0,0,1
4419,Ｆｉｎａｔｅｘｔホールディングス,0,0,0,0,0,1
4425,Ｋｕｄａｎ,0,0,0,0,0,1
4431,スマレジ,0,0,0,0,0,1
4435,カオナビ,0,0,0,0,0,1
4436,ミンカブ・ジ・インフォノイド,0,0,0,0,0,1
4442,バルテス・ホールディングス,0,0,0,0,0,1
4448,ｋｕｂｅｌｌ,0,0,0,0,0,1
4452,花王,1,0,1,1,0,0
4475,ＨＥＮＮＧＥ,0,0,0,0,0,1
4477,ＢＡＳＥ,0,0,0,0,0,1
4478,フリー,0,0,0,0,1,1
4482,ウィルズ,0,0,0,0,0,1
4485,ＪＴＯＷＥＲ,0,0,0,0,1,1
4488,ＡＩ　ｉｎｓｉｄｅ,0,0,0,0,0,1
4490,ビザスク,0,0,0,0,0,1
4493,サイバーセキュリティクラウド,0,0,0,0,0,1
4495,アイキューブドシステムズ,0,0,0,0,0,1
4498,サイバートラスト,0,0,0,0,0,1
4502,武田,1,1,1,0,0,0
4503,アステラス,1,0,1,1,0,0
4506,住友ファーマ,1,0,0,0,0,0
4507,塩野義,1,0,1,1,0,0
