name,Code,データ有無,データ開始日,データ終了日,レコード数,営業日カバレッジ (%),欠損項目
ユナイテッド,2497,有り,2018-05-30,2025-09-26,1796,93.88,無し
サッポロＨＤ,2501,有り,2018-05-30,2025-09-26,1796,93.88,無し
アサヒ,2502,有り,2018-05-30,2025-09-26,1796,93.88,無し
キリンＨＤ,2503,有り,2018-05-30,2025-09-26,1796,93.88,無し
宝ホールディングス,2531,有り,2018-05-30,2025-09-26,1796,93.88,無し
サントリー食品インターナショナル,2587,有り,2018-05-30,2025-09-26,1796,93.88,無し
エービーシー・マート,2670,有り,2018-05-30,2025-09-26,1796,93.88,無し
アスクル,2678,有り,2018-05-30,2025-09-26,1796,93.88,無し
アダストリア,2685,有り,2018-05-30,2025-09-26,1796,93.88,無し
日本マクドナルドホールディングス,2702,有り,2018-05-30,2025-09-26,1796,93.88,無し
パルグループホールディングス,2726,有り,2018-05-30,2025-09-26,1796,93.88,無し
東京エレクトロン　デバイス,2760,有り,2018-05-30,2025-09-26,1796,93.88,無し
円谷フィールズホールディングス,2767,有り,2018-05-30,2025-09-26,1796,93.88,無し
双日,2768,有り,2018-05-30,2025-09-26,1796,93.88,無し
キッコマン,2801,有り,2018-05-30,2025-09-26,1796,93.88,無し
味の素,2802,有り,2018-05-30,2025-09-26,1796,93.88,無し
カゴメ,2811,有り,2018-05-30,2025-09-26,1796,93.88,無し
ニチレイ,2871,有り,2018-05-30,2025-09-26,1796,93.88,無し
東洋水産,2875,有り,2018-05-30,2025-09-26,1796,93.88,無し
日清食品ホールディングス,2897,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＪＴ,2914,有り,2018-05-30,2025-09-26,1796,93.88,無し
ジェイフロンティア,2934,有り,2022-02-03,2025-09-26,893,93.8,無し
ベースフード,2936,有り,2023-04-21,2025-09-26,596,93.71,無し
サンクゼール,2937,有り,2023-05-31,2025-09-26,571,93.91,無し
ツクルバ,2978,有り,2020-01-10,2025-09-26,1397,93.7,無し
ＬＡホールディングス,2986,有り,2020-12-09,2025-09-26,1175,93.77,無し
クリアル,2998,有り,2022-10-06,2025-09-26,729,93.82,無し
ヒューリック,3003,有り,2018-05-30,2025-09-26,1796,93.88,無し
神戸物産,3038,有り,2018-05-30,2025-09-26,1796,93.88,無し
ジェイグループホールディングス,3063,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＭｏｎｏｔａＲＯ,3064,有り,2018-05-30,2025-09-26,1796,93.88,無し
Ｊフロント,3086,有り,2018-05-30,2025-09-26,1796,93.88,無し
マツキヨココカラ＆カンパニー,3088,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＺＯＺＯ,3092,有り,2018-05-30,2025-09-26,1796,93.88,無し
三越伊勢丹,3099,有り,2018-05-30,2025-09-26,1796,93.88,無し
ダイワボウホールディングス,3107,有り,2018-05-30,2025-09-26,1796,93.88,無し
トヨタ紡織,3116,有り,2018-05-30,2025-09-26,1796,93.88,無し
マクニカホールディングス,3132,有り,2018-05-30,2025-09-26,1796,93.88,無し
海帆,3133,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＢＲＵＮＯ,3140,有り,2018-05-30,2025-09-26,1796,93.88,無し
ウエルシアホールディングス,3141,有り,2018-05-30,2025-09-26,1796,93.88,無し
クリエイトＳＤホールディングス,3148,有り,2018-05-30,2025-09-26,1796,93.88,無し
ネクステージ,3186,有り,2018-05-30,2025-09-26,1796,93.88,無し
ミラタップ,3187,有り,2018-05-30,2025-09-26,1796,93.88,無し
野村不動産ホールディングス,3231,有り,2018-05-30,2025-09-26,1796,93.88,無し
オープンハウスグループ,3288,有り,2018-05-30,2025-09-26,1796,93.88,無し
東急不ＨＤ,3289,有り,2018-05-30,2025-09-26,1796,93.88,無し
飯田グループホールディングス,3291,有り,2018-05-30,2025-09-26,1796,93.88,無し
アンビション　ＤＸ　ホールディングス,3300,有り,2018-05-30,2025-09-26,1796,93.88,無し
コスモス薬品,3349,有り,2018-05-30,2025-09-26,1796,93.88,無し
