DocID,NetSales,OperatingIncome,Method
S100R1YB,10822455000.0,80713000.0,Rule
S100URI1,3040076000.0,178253000.0,Rule
S100SS11,53512000000.0,11480000000.0,Rule
S100R207,369498000000.0,28684000000.0,Rule
S100P06Z,350346000000.0,3404000000.0,Rule
S100P05Z,3829550000000.0,222216000000.0,Rule
S100P02C,,1331703000000.0,Rule
S100SS1B,1081585000000.0,15410000000.0,Rule
S100R218,482576000000.0,134083000000.0,Rule
S100SS21,1400736000.0,539296000.0,Rule
S100KZPJ,4270009000.0,-1200212000.0,Rule
S100P07I,71905000000.0,14040000000.0,Rule
S100KZU5,779194000000.0,288109000000.0,Rule
S100URI7,183606000000.0,28771000000.0,Rule
S100MWEF,41448000000.0,14703000000.0,Rule
S100URIW,890351000000.0,45992000000.0,Rule
S100R22E,414948000000.0,-2071000000.0,Rule
S100KZV2,1133346000.0,-1057067000.0,Rule
S100URIY,16921000000.0,413000000.0,Rule
S100SS2U,179189000000.0,54963000000.0,Rule
S100P07Q,21099000000.0,2266000000.0,Rule
S100R23A,827000000.0,96110000000.0,Rule
S100URJ2,70073000000.0,15664000000.0,Rule
S100L01C,12587000000.0,1317000000.0,Rule
S100SS38,179828000000.0,21785000000.0,Rule
S100L00A,309925000000.0,-21614000000.0,Rule
S100URI3,,,Rule
S100R23Q,933114000000.0,33595000000.0,Rule
S100P07S,25940000000.0,6214000000.0,Rule
S100SS3L,403387000000.0,15129000000.0,Rule
S100P089,35619000000.0,10276000000.0,Rule
S100R248,544158000000.0,97204000000.0,Rule
S100P07P,,,Rule
S100URJG,922887000000.0,37232000000.0,Rule
S100L036,210559000000.0,27893000000.0,Rule
S100MW01,,,Rule
S100SS3Y,1067645000000.0,117390000000.0,Rule
S100URJZ,1044356000.0,-13944000.0,Rule
S100L03F,291333000000.0,37897000000.0,Rule
S100P08B,71358000000.0,5587000000.0,Rule
S100P09H,497964000.0,133542000.0,Rule
S100R257,9288579000.0,2417261000.0,Rule
S100MWCP,,,Rule
S100URK9,211663000000.0,32816000000.0,Rule
S100L04L,2696772000.0,16671000.0,Rule
S100SS4K,220119000000.0,23295000000.0,Rule
S100R25K,187297000000.0,13119000000.0,Rule
S100MXHE,52512592000.0,1169075000.0,Rule
S100MWGM,,,Rule
S100P09K,46574000000.0,12971000000.0,Rule
S100L05N,1471298000000.0,81672000000.0,Rule
S100URL1,23002000000.0,4660000000.0,Rule
S100MWUS,,,Rule
S100SS51,10786933000.0,4963369000.0,Rule
S100L071,21614000000.0,5138000000.0,Rule
S100URM6,108174000000.0,39504000000.0,Rule
S100P0C0,2150486000.0,-247922000.0,Rule
S100MX3A,,,Rule
S100R28G,389635000000.0,46789000000.0,Rule
S100SS54,1356106000000.0,260042000000.0,Rule
S100P0C7,469785000.0,-988406000.0,Rule
S100R29Q,50155352000.0,9951777000.0,Rule
S100MWNK,,,Rule
S100SS4A,,1778018000000.0,Rule
S100MXXD,3574659000.0,414354000.0,Rule
S100L0B3,108679000000.0,12189000000.0,Rule
S100SS5J,71514000000.0,35744000000.0,Rule
S100URME,395585000000.0,21212000000.0,Rule
S100URKY,,734183000000.0,Rule
S100R29T,504676000000.0,-27472000000.0,Rule
S100R24O,,183292000000.0,Rule
S100L0GG,541797000000.0,44341000000.0,Rule
S100MX4J,,,Rule
S100SS6Z,100618000000.0,144807000000.0,Rule
S100P0CK,28856000000.0,1914000000.0,Rule
S100MXXW,2132992000000.0,191442000000.0,Rule
S100L0HB,897208000000.0,125504000000.0,Rule
S100R29U,452351000000.0,12370000000.0,Rule
S100URMM,5121813000.0,1567709000.0,Rule
S100URN0,111374000000.0,12433000000.0,Rule
S100MX4P,,,Rule
S100R2BG,331505000000.0,43692000000.0,Rule
S100MXYN,5217273000.0,691103000.0,Rule
S100SS72,693752000.0,447688000.0,Rule
S100P0CU,228902000.0,-67116000.0,Rule
S100L0HT,1095565000.0,246012000.0,Rule
S100P0F1,13303181000.0,1006287000.0,Rule
S100SS79,336821000000.0,138737000000.0,Rule
S100URN2,45760000000.0,4071000000.0,Rule
S100P0FM,1172859000.0,-26980000.0,Rule
S100R2C5,2091293000.0,297560000.0,Rule
S100MXWH,,,Rule
S100SS7P,1789217000000.0,144271000000.0,Rule
S100MXTA,,,Rule
S100L0KX,2977051000.0,-4506220000.0,Rule
S100P0FU,77802000000.0,22157000000.0,Rule
S100R2BN,204746000000.0,50095000000.0,Rule
S100MY9X,2746940000.0,89478000.0,Rule
S100UROE,264093000000.0,34884000000.0,Rule
S100SS8H,61136000000.0,20316000000.0,Rule
S100URP9,676030000000.0,78872000000.0,Rule
S100L0MS,334980000000.0,49631000000.0,Rule
S100R2ES,9190472000000.0,-39111000000.0,Rule
S100L0O4,545060000000.0,31317000000.0,Rule
S100P0GU,3119061000.0,234458000.0,Rule
S100SS9A,598991000000.0,51443000000.0,Rule
S100URPQ,18591759000.0,5924781000.0,Rule
S100SS8Q,332947000000.0,12307000000.0,Rule
S100R2FG,173131000000.0,4715000000.0,Rule
S100P0HH,284100000000.0,16495000000.0,Rule
S100L0OB,150514000000.0,25943000000.0,Rule
S100URQN,518960000000.0,22377000000.0,Rule
S100P0H8,214466000000.0,9450000000.0,Rule
S100SS9D,205353000000.0,23210000000.0,Rule
S100MYFI,452335000000.0,42447000000.0,Rule
S100L0PD,920888000000.0,14963000000.0,Rule
S100R2FO,4973537000000.0,318399000000.0,Rule
S100URR3,560196000000.0,59099000000.0,Rule
S100P0I4,98166000000.0,17062000000.0,Rule
S100SS9H,4177000000.0,582000000.0,Rule
S100R2GR,2106970000000.0,123526000000.0,Rule
S100R2I8,5305839000.0,258055000.0,Rule
S100URSN,1373816000.0,258060000.0,Rule
S100P0IA,6165000000.0,286000000.0,Rule
S100L0QQ,596887000000.0,100950000000.0,Rule
S100URT9,3144721000.0,290132000.0,Rule
S100SS9R,95497000000.0,14327000000.0,Rule
S100L0QV,2887459000.0,228294000.0,Rule
S100MYMI,3716142000.0,829962000.0,Rule
S100P0IC,617907000.0,-270154000.0,Rule
S100R2IM,463063000000.0,-10573000000.0,Rule
S100MY24,,,Rule
S100L0SE,257192000000.0,10960000000.0,Rule
S100MYLT,4283146000.0,127876000.0,Rule
S100URTN,778237000000.0,48171000000.0,Rule
S100SS9V,10245315000000.0,386319000000.0,Rule
S100MYNI,46004569000.0,3994926000.0,Rule
S100P0IG,305367000000.0,83518000000.0,Rule
S100R2L5,773960000000.0,17145000000.0,Rule
S100MXYS,,,Rule
S100R2LE,627607000000.0,32552000000.0,Rule
