Date,Code,News_Sentiment
2025-09-26,5201,0.5736853
2025-09-26,5253,0.38019446
2025-09-26,7751,0.55757487
2025-09-26,8001,0.31219092
2025-09-26,8410,0.31219092
2025-09-26,9434,-0.34382513
2025-09-27,2282,0.38121694
2025-09-27,4478,0.35417542
2025-09-27,4689,0.7349327
2025-09-27,4704,0.39522514
2025-09-27,5139,0.62611276
2025-09-27,6030,0.51024383
2025-09-27,6302,-0.2848905
2025-09-27,6952,0.49080807
2025-09-27,7047,0.15642804
2025-09-27,7203,0.55229557
2025-09-27,7267,0.44557709
2025-09-27,8267,0.5126076
2025-09-27,8604,0.6714332
2025-09-27,8750,-0.04911363
2025-09-27,8801,0.63525856
2025-09-27,9101,-0.04911363
2025-09-29,2497,0.45967135
2025-09-29,2502,-0.49533817
2025-09-29,2811,0.5164346
2025-09-29,4188,0.17801377
2025-09-29,4208,-0.12518767
2025-09-29,4751,-0.49533817
2025-09-29,4901,0.74096227
2025-09-29,6030,0.38159937
2025-09-29,6201,0.5153366
2025-09-29,7047,0.2323403
2025-09-29,7267,0.29197872
2025-09-29,7269,0.40476888
2025-09-29,7564,-0.12518767
2025-09-29,8227,0.8503643
2025-09-29,8331,0.46497464
2025-09-29,9008,0.2835441
2026-01-10,4208,0.4515444
2026-01-11,4208,0.37244296
2026-01-11,4478,0.37244296
2026-01-11,4704,0.4376108
2026-01-11,4751,0.480389
2026-01-11,7013,0.36674368
2026-01-11,7047,0.2209409
2026-01-11,7203,0.43116716
2026-01-11,7267,0.26031423
2026-01-11,7269,0.5887484
2026-01-11,7564,-0.11109766
2026-01-11,8766,0.23171228
2026-01-11,9001,0.056851864
2026-01-11,9164,0.17817515
