Model,RMSE,MAE,Accuracy,R2_Price,R2_Return,Corr,Source_File
Attention-LSTM,559.9587001173315,190.99444592475936,54.51939779965258,0.9943931297035048,0.0005768636022662,0.9972007149401306,C:\M2_Research_Project\3_reports\phase3_production_deep_strict\predictions_LSTM.csv
Multi-Modal Gated Transformer (Ours),559.664090639008,191.52077480142373,54.855240301100174,0.9943990280049138,-0.0020933476685884,0.9972123904816566,C:\M2_Research_Project\3_reports\phase3_production_deep_strict\predictions_FusionTransformer.csv
Vanilla Transformer,559.6622975105073,191.52138514479765,44.75101331789229,0.9943990638951794,-0.0020974266398414,0.9972123915981688,C:\M2_Research_Project\3_reports\phase3_production_deep_strict\predictions_Transformer.csv
PatchTST,561.0375393524217,190.7345433334392,54.09959467284308,0.9943715040418252,-0.0032210604383187,0.9972209504873124,C:\M2_Research_Project\3_reports\phase3_production_deep_strict\predictions_PatchTST.csv
Ridge Regression,552.6812278217255,191.62666551965364,46.24277456647399,0.994529908950447,-0.0087028972563021,0.9972698863710604,C:\M2_Research_Project\3_reports\phase3_production_ridge_strict\predictions_Ridge.csv
LightGBM,558.7501516013723,194.04296868915068,46.52312138728324,0.994409116590817,-0.0088768027094341,0.9972168344180116,C:\M2_Research_Project\3_reports\phase3_production_lgbm_strict\predictions_LightGBM.csv
DLinear,561.2184314998382,192.34770464416863,50.98726114649682,0.9943678739287312,-0.0104226915752692,0.9972150716486832,C:\M2_Research_Project\3_reports\phase3_production_deep_strict\predictions_DLinear.csv
iTransformer,560.519578327484,193.56835199997053,48.152866242038215,0.994381891923492,-0.0209518727638347,0.9972015580674992,C:\M2_Research_Project\3_reports\phase3_production_deep_strict\predictions_iTransformer.csv
