Variant,Accuracy,Acc_With_News,Acc_No_News
Proposed (Full),54.51360741169658,54.51360741169658,
w/o Text,54.06485234510712,54.06485234510712,
w/o Gating,49.71916618413434,49.71916618413434,
w/o CNN,53.833236826867406,53.833236826867406,
