Model,Accuracy,R2_Return,Sharpe Ratio,Total Return,Max Drawdown
Attention-LSTM,0.5451939779965258,-0.0019205294362822922,3.5482267082538157,1.2131095900275666,-0.43641781087494086
Multi-Modal Gated Transformer (Ours),0.5485813549507818,-0.008500565532239657,3.084407935148686,1.337272034145773,-0.5006699583570785
PatchTST,0.5409959467284308,-0.005096512054730384,2.1044599431038256,0.6505490202564204,-0.4463691918896098
DLinear,0.5098726114649682,-0.01639692227053069,0.6899586869874107,0.140268016850424,-0.4211226188537132
Ridge Regression,0.4624277456647399,-0.024720866764377014,-1.9869416293333009,-0.4573356405322677,-0.6563863857207518
LightGBM,0.4652312138728324,-0.026095142506139313,-2.142862424255163,-0.49586241595470804,-0.7268282788191245
iTransformer,0.48152866242038217,-0.036300506530282606,-2.344840972524833,-0.5040364672145676,-0.6717396753116448
Vanilla Transformer,0.44751013317892296,-0.008511033131958001,-3.0927237804597962,-0.6262588895906173,-0.7688523787393212
